Deed,Choice,CAC_score,CSC_score
1,1,3.41,2.3938
1,1,3.5975,3.339
1,1,3.9259,3.5079
1,1,2.7616,2.78
1,1,3.8903,2.4645
1,1,3.2758,2.2411
1,1,2.8776,2.5049
1,1,3.2471,2.0829
1,1,3.3179,2.7171
1,1,3.5598,2.7314
1,1,3.4008,2.7296
1,1,3.9756,2.8351
1,1,3.4493,2.6767
1,1,4.1923,3.1869
1,1,4.3312,2.6243
1,1,4.0853,2.27
1,1,3.6989,3.2005
1,1,4.174,2.8353
1,1,3.333,3.1164
1,1,3.3821,3.147
1,1,3.0162,2.5531
1,1,2.9896,2.7323
1,1,3.5022,2.877
1,1,3.4023,3.6786
1,1,2.9135,2.5941
1,1,2.626,3.4023
1,1,3.0728,2.6248
1,1,3.7742,3.0393
1,1,3.8145,3.0871
1,1,3.0411,2.4538
1,1,3.7523,2.986
1,1,3.1898,2.7775
1,1,3.5586,3.073
1,2,3.7456,3.4346
1,2,3.4951,3.136
1,2,3.9159,3.518
1,2,3.6829,3.2069
1,2,3.1252,2.5165
1,2,2.9723,2.4763
1,2,3.1399,2.8149
1,2,3.7529,3.0372
1,2,3.8857,2.5765
1,2,3.5526,2.0983
1,2,3.9082,2.8988
1,2,3.0362,2.3382
1,2,3.5899,2.6815
1,2,3.7858,3.044
1,2,4.0649,3.1598
1,2,3.9299,2.7249
1,2,3.861,2.4368
1,2,3.2919,2.4943
1,2,3.8302,2.1803
1,2,4.0684,3.6444
1,2,3.683,2.9688
1,2,4.0662,2.722
1,2,3.9185,2.5956
1,2,4.1835,3.2897
1,2,3.6885,2.9624
1,2,3.3674,2.8369
1,2,3.0302,2.846
1,2,4.1258,3.2707
1,2,4.0334,2.9864
1,2,3.7479,2.7807
1,2,4.1297,2.8454
1,2,2.8235,2.7156
1,2,3.9625,3.1345
1,2,3.7973,3.212
1,2,3.9018,2.6879
1,2,3.7391,3.3858
1,2,3.961,2.1581
1,2,3.0965,2.8195
1,2,3.4379,2.454
1,2,3.5773,3.228
1,2,3.5556,3.7351
1,2,3.8897,3.1649
1,2,3.0207,2.8517
1,2,3.8496,2.8962
1,2,3.5106,3.1438
1,2,3.5221,2.5498
1,2,3.4536,2.5842
1,2,3.8229,3.0714
1,2,4.5317,3.6117
1,2,3.6139,2.913
1,2,3.8616,3.0798
1,2,4.18,2.6545
1,2,3.7198,2.8925
1,2,3.4089,2.921
1,2,3.6322,2.9227
1,2,3.1311,3.1675
1,2,3.9512,2.4386
1,2,3.2718,2.4708
1,2,3.3005,2.9796
1,2,3.6133,2.5303
1,2,3.6073,2.696
1,2,3.7533,2.4172
1,2,3.168,3.4256
1,2,3.2437,2.3713
1,2,3.2995,2.6517
1,2,3.287,2.9306
1,2,3.7545,2.9512
1,2,3.7886,3.1129
1,2,3.4765,3.3616
1,2,3.3635,3.0448
1,2,3.7712,2.5526
1,2,3.5691,2.8187
1,2,3.1676,2.631
2,1,3.5611,2.5295
2,1,4.1622,3.0469
2,1,3.5382,3.1737
2,1,3.8101,2.6311
2,1,3.1955,3.2778
2,1,3.0998,2.2898
2,1,3.7582,3.1029
2,1,4.2727,3.4009
2,1,3.9622,2.9084
2,1,3.514,3.0345
2,1,3.5046,2.4764
2,1,2.9024,3.1731
2,1,3.6663,3.0953
2,1,3.5869,2.4866
2,1,3.9396,2.7515
2,1,3.2242,2.5628
2,1,3.3657,2.6989
2,1,3.333,3.1809
2,1,3.69,2.6415
2,1,3.9626,2.215
2,1,3.7029,2.8236
2,1,3.5277,2.6246
2,1,3.3242,3.1809
2,1,3.7898,3.0355
2,1,3.7514,3.47
2,1,3.618,3.0846
2,1,4.1512,2.7425
2,1,3.8708,2.9197
2,1,3.9062,2.8117
2,1,3.2449,3.2648
2,1,3.3131,3.0642
2,1,3.7012,2.7495
2,1,3.3616,2.3612
2,1,4.1995,2.657
2,1,3.543,2.7799
2,1,4.4895,3.3299
2,1,3.8166,3.3596
2,2,3.6297,2.5288
2,2,3.1606,2.5913
2,2,3.8069,2.775
2,2,3.6929,2.6377
2,2,3.3068,2.4987
2,2,3.7961,3.5001
2,2,3.1762,2.5226
2,2,4.5338,3.0466
2,2,3.5351,2.6586
2,2,3.8808,2.5298
2,2,3.153,3.2736
2,2,3.4179,3.1306
2,2,3.8434,3.1271
2,2,3.4153,2.9614
2,2,3.6609,3.0628
2,2,3.4514,2.8228
2,2,4.2024,3.0351
2,2,3.8804,2.8934
2,2,3.5965,2.6773
2,2,3.9216,2.8389
2,2,3.9123,2.5349
2,2,3.8177,2.9051
2,2,4.1302,2.6282
2,2,4.2834,2.6871
2,2,3.9554,3.1263
2,2,3.8381,3.1874
2,2,2.9773,2.7627
2,2,3.5998,2.6215
2,2,3.7181,2.9827
2,2,3.2143,3.1409
2,2,4.3486,2.6056
2,2,3.4412,2.8078
2,2,3.8535,2.8382
2,2,3.5627,2.6022
2,2,3.5196,2.6659
2,2,3.1597,2.8295
2,2,3.4593,3.3009
2,2,3.1591,2.4243
2,2,3.6272,3.448
2,2,3.4851,2.8331
2,2,3.3262,2.7444
2,2,3.5362,2.751
2,2,4.0471,2.6951
2,2,3.8317,3.5311
2,2,3.778,3.3872
2,2,3.4351,3.1227
2,2,4.1372,3.0421
2,2,3.817,2.8798
2,2,3.0598,3.4674
2,2,3.6957,3.2692
2,2,3.6949,2.5942
2,2,3.2697,2.7299
2,2,3.704,2.5258
2,2,3.0634,2.6534
2,2,3.2986,2.8682
2,2,3.1684,2.7916
2,2,3.3596,3.2817
2,2,4.0932,2.812
2,2,3.6698,2.6413
2,2,3.7548,2.9582
2,2,3.9204,2.7956
2,2,3.2008,3.0884
2,2,2.7649,2.8996
2,2,4.189,3.0417
2,2,3.2998,3.1037
2,2,2.7321,2.8866
2,2,3.832,2.7304
