INSTNM,CITY,STABBR,REGION,LOCALE,ADM_RATE,ACTCMMID,ACTENMID,ACTMTMID,UGDS,PFTFAC,PCTPELL,COSTT4_A,AVGFACSAL
Birmingham Southern College,Birmingham,AL,5,12,0.4839,26,26,24,1289,0.6226,0.1888,48510,72330
Huntingdon College,Montgomery,AL,5,12,0.5676,22,21,20,1140,0.5044,0.4425,34207,66150
Ouachita Baptist University,Arkadelphia,AR,5,32,0.6688,25,26,23,1477,1,0.2848,34740,62700
Occidental College,Los Angeles,CA,8,11,0.4581,30,31,29,1957,0.7093,0.2024,67046,111800
Pomona College,Claremont,CA,8,21,0.0944,33,33,31,1547,0.9612,0.1954,64870,128640
Westmont College,Santa Barbara,CA,8,22,0.8276,26,28,26,1277,0.5721,0.1902,57387,74530
Eckerd College,Saint Petersburg,FL,5,11,0.7213,25,25,24,2028,0.7989,0.2389,55113,75370
Flagler College-St Augustine,Saint Augustine,FL,5,23,0.5505,24,24,22,2611,0.4894,0.2925,30334,63450
Abraham Baldwin Agricultural College,Tifton,GA,5,32,0.6561,20,18,19,3233,0.6865,0.4324,13171,52770
Point University,West Point,GA,5,32,0.5144,20,19,18,1358,0.1963,0.6044,28898,55990
College of Coastal Georgia,Brunswick,GA,5,13,0.9521,19,18,19,3174,0.5022,0.4855,15763,59420
Gordon State College,Barnesville,GA,5,32,0.5433,18,17,18,3577,0.6372,0.569,18449,54120
Morehouse College,Atlanta,GA,5,11,0.6607,22,22,21,2104,0.7773,0.4874,47860,74380
Oglethorpe University,Atlanta,GA,5,21,0.804,25,25,23,1183,1,0.3697,48302,67030
Spelman College,Atlanta,GA,5,11,0.3573,24,22,24,2122,0.7008,0.4907,44933,80550
Lewis-Clark State College,Lewiston,ID,7,13,0.9715,21,19,20,3038,0.9892,0.3848,15475,58170
Illinois Wesleyan University,Bloomington,IL,3,13,0.5821,27,28,27,1763,0.704,0.1911,54580,81600
Monmouth College,Monmouth,IL,3,32,0.5206,23,22,22,1133,0.7176,0.4127,45005,67920
DePauw University,Greencastle,IN,3,32,0.6533,27,27,26,2186,0.8737,0.186,58478,94150
Hanover College,Hanover,IN,3,32,0.5733,25,25,24,1083,0.8586,0.3098,47421,76260
Saint Mary's College,Notre Dame,IN,3,21,0.8165,25,27,25,1576,0.6583,0.2199,50909,74660
Central College,Pella,IA,4,32,0.7343,24,23,23,1184,0.9619,0.2563,47878,71690
Coe College,Cedar Rapids,IA,4,12,0.4995,25,25,25,1323,0.6516,0.3125,50982,72540
Grinnell College,Grinnell,IA,4,33,0.2019,32,33,31,1657,0.7802,0.2164,61098,95490
Luther College,Decorah,IA,4,33,0.6763,26,26,25,2121,0.786,0.1763,51165,75260
Wartburg College,Waverly,IA,4,32,0.6825,24,24,24,1449,1,0.2173,48469,66660
Berea College,Berea,KY,5,32,0.328,25,25,23,1612,0.882,0.8326,34980,77170
Centre College,Danville,KY,5,32,0.7426,29,31,27,1422,0.9155,0.1441,50976,82320
Dillard University,New Orleans,LA,5,11,0.394,20,19,18,1261,0.5299,0.7662,29900,62030
Louisiana State University-Alexandria,Alexandria,LA,5,41,0.3332,21,21,20,2579,0.5576,0.3753,13520,55210
Colby College,Waterville,ME,1,33,0.1871,32,32,30,1879,0.9025,0.091,63330,117590
