"","Name","City","State","Enrollment","Private","Region","Adm_Rate","ACT_median","ACT_Q1","ACT_Q3","Cost","Net_Tuition","Avg_Fac_Salary","PercentFemale","PercentWhite","PercentBlack","PercentHispanic","PercentAsian","FourYearComp_Males","FourYearComp_Females","Debt_median","Salary10yr_median"
"1","Abilene Christian University","Abilene","TX",3524,"Private","South West",0.5696,24,21,21,48046,16177,69804,0.6118200134,0.794599990844726,0.0814000034332275,0.163500003814697,0.0286999988555908,0.411575562701,0.528301886792,16000,43000
"3","Adelphi University","Garden City","NY",5307,"Private","Mid East",0.7418,25,22,22,49008,24971,111339,0.7211120765,0.666900024414062,0.178500003814697,0.129200000762939,0.0673000001907348,0.611464968153,0.699885452463,19500,58500
"4","Adrian College","Adrian","MI",1781,"Private","Great Lakes",0.6481,23,19,19,51626,14136,72873,0.4221105528,0.886100006103515,0.0692000007629394,0.031800000667572,0.0121000003814697,0.232091690544,0.331983805668,18468,38600
"5","AdventHealth University","Orlando","FL",1166,"Private","South East",0.8689,20,18,18,24338,15360,69759,0.8251057828,0.762200012207031,0.139499998092651,0.133800001144409,0.0258999991416931,0.47619047619,0.413223140496,16646,56000
"8","Alabama A & M University","Normal","AL",4990,"Public","South East",0.8986,18,16,16,22489,7413,63909,0.5640301318,0.468400001525878,0.479799995422363,0.0378999996185302,0.0148000001907348,0.147157190635,0.231366459627,15000,31000
"9","Alabama State University","Montgomery","AL",3903,"Public","South East",0.9774,18,16,16,21476,10160,69786,0.6134185304,0.426899986267089,0.523199996948242,0.0409000015258789,0.0140999996662139,0.128205128205,0.267921146953,18950,27700
"10","Albany College of Pharmacy and Health Sciences","Albany","NY",857,"Private","Mid East",0.7189,26,24,24,47221,24852,84078,0.6031746032,0.877900009155273,0.0509000015258789,0.0498000001907348,0.0313000011444091,0.638461538462,0.686170212766,25000,124700
"11","Albertus Magnus College","New Haven","CT",1113,"Private","New England",0.5807,18,15,15,47496,12493,65700,0.694684796,0.719499969482422,0.1675,0.120900001525878,0.0270000004768371,0.519230769231,0.54,23944,51200
"12","Albion College","Albion","MI",1512,"Private","Great Lakes",0.6824,23,20,20,56722,12849,67968,0.4957627119,0.880899963378906,0.0692999982833862,0.0299000000953674,0.0165999996662139,0.6,0.634920634921,16721,47400
"14","Alcorn State University","Alcorn State","MS",3106,"Public","South East",0.8931,20,17,17,23966,2668,61164,0.621548457,0.402099990844726,0.571800003051757,0.0214000010490417,0.0077999997138977,0.180592991914,0.28295254833,20037,31100
"15","Alderson Broaddus University","Philippi","WV",823,"Private","South East",0.4253,20,18,18,38879,12234,45261,0.4316770186,0.940500030517578,0.0265000009536743,0.0229999995231628,0.0097000002861022,0.279569892473,0.48951048951,14000,40400
"16","Alfred University","Alfred","NY",1591,"Private","Mid East",0.6269,24,20,20,43294,8778,58410,0.4638826185,0.887799987792968,0.0567999982833862,0.0413999986648559,0.0201999998092651,0.5,0.642335766423,19500,41400
"17","Alice Lloyd College","Pippa Passes","KY",644,"Private","South East",0.2778,21,18,18,24564,8647,44928,0.5726495726,0.97620002746582,0.0125,0.0077999997138977,0.0023999999463558,0.260869565217,0.391666666667,8250,31700
"18","Allegheny College","Meadville","PA",1735,"Private","Mid East",0.6361,27,24,24,60783,17759,71046,0.5290482077,0.914400024414062,0.0480999994277954,0.0227999997138977,0.0152999997138977,0.627272727273,0.748031496063,25000,50900
"20","Alma College","Alma","MI",1396,"Private","Great Lakes",0.6411,23,20,20,52252,13489,67500,0.5534682081,0.915999984741211,0.0411999988555908,0.0275,0.0108000004291534,0.435555555556,0.663212435233,20500,42200
