"wa","Month","DayOfWeek","StartTime","GoingTo","Distance","MaxSpeed","AvgSpeed","AvgMovingSpeed","TotalTime","MovingTime","Take407All","Comments","StartTimeDecimal"
"1/6/2012","Jan","Friday","16:37","Home",51.29,127.4,78.3,84.8,39.3,36.3,"No","",16.6166666666667
"1/6/2012","Jan","Friday","8:20","GSK",51.63,130.3,81.8,88.9,37.9,34.9,"No","",8.33333333333333
"1/4/2012","Jan","Wednesday","16:17","Home",51.27,127.4,82,85.8,37.5,35.9,"No","",16.2833333333333
"1/4/2012","Jan","Wednesday","7:53","GSK",49.17,132.3,74.2,82.9,39.8,35.6,"No","",7.88333333333333
"1/3/2012","Jan","Tuesday","18:57","Home",51.15,136.2,83.4,88.1,36.8,34.8,"No","",18.95
"1/3/2012","Jan","Tuesday","7:57","GSK",51.8,135.8,84.5,88.8,36.8,35,"No","",7.95
"1/2/2012","Jan","Monday","17:31","Home",51.37,123.2,82.9,87.3,37.2,35.3,"No","",17.5166666666667
"1/2/2012","Jan","Monday","7:34","GSK",49.01,128.3,77.5,85.9,37.9,34.3,"No","",7.56666666666667
"12/23/2011","Dec","Friday","8:01","GSK",52.91,130.3,80.9,88.3,39.3,36,"No","",8.01666666666667
"12/22/2011","Dec","Thursday","17:19","Home",51.17,122.3,70.6,78.1,43.5,39.3,"No","",17.3166666666667
"12/22/2011","Dec","Thursday","8:16","GSK",49.15,129.4,74,81.4,39.8,36.2,"No","",8.26666666666667
"12/21/2011","Dec","Wednesday","7:45","GSK",51.77,124.8,71.7,78.9,43.3,39.4,"No","",7.75
"12/20/2011","Dec","Tuesday","16:05","Home",51.45,130.1,75.2,82.7,41.1,37.3,"No","",16.0833333333333
"12/20/2011","Dec","Tuesday","6:04","GSK",49.01,119,77.4,82,38,35.9,"No","",6.06666666666667
"12/19/2011","Dec","Monday","16:18","Home",51.04,132.2,77.5,83.5,39.5,36.7,"No","",16.3
"12/19/2011","Dec","Monday","7:34","GSK",52,137.8,76.5,87.8,40.8,35.5,"No","Put snow tires on",7.56666666666667
"12/16/2011","Dec","Friday","12:22","Home",51.05,128.4,86.9,90.6,35.2,33.8,"No","",12.3666666666667
"12/16/2011","Dec","Friday","7:21","GSK",49.04,124.6,71.1,80.2,41.4,36.7,"No","",7.35
"12/15/2011","Dec","Thursday","16:14","Home",51.06,126.9,80.5,84.9,38.1,36.1,"No","",16.2333333333333
"12/15/2011","Dec","Thursday","7:19","GSK",51.68,123.5,68.1,75.8,45.6,40.9,"No","",7.31666666666667
"12/14/2011","Dec","Wednesday","16:20","Home",51.04,123.4,75.1,79.4,40.8,38.6,"No","",16.3333333333333
"12/14/2011","Dec","Wednesday","7:23","GSK",51.67,123.5,76.6,82.7,40.5,37.5,"No","",7.38333333333333
"12/13/2011","Dec","Tuesday","17:43","Home",51.15,130.6,74.8,82.4,41,37.2,"No","",17.7166666666667
"12/13/2011","Dec","Tuesday","7:25","GSK",49.19,126.1,65.4,74.2,45.1,39.8,"No","",7.41666666666667
"12/12/2011","Dec","Monday","7:20","GSK",49.02,126.1,65.7,74,44.8,39.7,"No","",7.33333333333333
"12/9/2011","Dec","Friday","12:04","Home",51.14,126.8,87.3,90.2,35.2,34,"No","",12.0666666666667
"12/9/2011","Dec","Friday","7:22","GSK",51.69,128.4,74,77.3,41.9,40.1,"No","",7.36666666666667
"12/8/2011","Dec","Thursday","17:41","Home",51.07,125,74.6,81.5,41.1,37.6,"No","",17.6833333333333
"12/8/2011","Dec","Thursday","7:14","GSK",51.63,134.4,76.5,84.3,40.5,36.7,"No","",7.23333333333333
"12/7/2011","Dec","Wednesday","16:12","Home",51.1,126.5,79.9,85.6,38.4,35.8,"No","",16.2
"12/7/2011","Dec","Wednesday","7:18","GSK",51.64,124.6,73.6,82,42.1,37.8,"No","",7.3
"12/6/2011","Dec","Tuesday","17:24","Home",51.25,123.5,77.3,81.9,39.8,37.6,"No","",17.4
"12/6/2011","Dec","Tuesday","7:24","GSK",51.64,122.3,69.3,74.7,44.7,41.5,"No","",7.4
"12/5/2011","Dec","Monday","16:18","Home",50.18,124,71,79.5,42.4,37.9,"No","",16.3
"12/1/2011","Dec","Thursday","16:15","Home",51.55,129.6,74.2,83.7,41.7,36.9,"No","",16.25
"12/1/2011","Dec","Thursday","7:24","GSK",51.38,124.6,80.1,84.4,38.5,36.5,"No","",7.4
"11/30/2011","Nov","Wednesday","16:11","Home",51.09,128.7,71.5,76.7,42.9,39.9,"No","",16.1833333333333
"11/30/2011","Nov","Wednesday","7:19","GSK",51.71,125.6,76.3,81.8,40.7,37.9,"No","",7.31666666666667
"11/29/2011","Nov","Tuesday","16:52","Home",51,121.4,68.4,75.4,44.7,40.6,"No","",16.8666666666667
"11/29/2011","Nov","Tuesday","7:23","GSK",51.74,112.2,55.3,61,56.2,50.9,"No","Heavy rain",7.38333333333333
"11/28/2011","Nov","Monday","16:16","Home",51.05,128.2,72.4,78.8,42.3,38.9,"No","",16.2666666666667
"11/28/2011","Nov","Monday","7:26","GSK",51.63,127.1,71,75.5,43.6,41.1,"No","",7.43333333333333
"11/24/2011","Nov","Thursday","16:15","Home",51.49,126.6,74,82.8,41.8,37.3,"No","",16.25
"11/24/2011","Nov","Thursday","7:23","GSK",51.69,124.9,73.3,80.3,42.3,38.6,"No","",7.38333333333333
"11/23/2011","Nov","Wednesday","16:17","Home",60.32,129.4,68.9,74.6,52.5,48.5,"No","",16.2833333333333
"11/23/2011","Nov","Wednesday","7:22","GSK",51.6,126.4,67.3,73.6,46,42.1,"No","",7.36666666666667
"11/22/2011","Nov","Tuesday","16:15","Home",51.49,129.6,78.6,83.8,39.3,36.9,"No","",16.25
"11/22/2011","Nov","Tuesday","7:27","GSK",51.65,128.6,76.1,82.6,40.7,37.5,"No","",7.45
"11/21/2011","Nov","Monday","16:50","Home",51.31,123.1,60.9,67.2,50.6,45.8,"No","",16.8333333333333
"11/21/2011","Nov","Monday","7:24","GSK",52.25,127.3,38.1,50.3,82.3,62.4,"No","Huge traffic backup",7.4
"11/17/2011","Nov","Thursday","16:16","Home",51.16,127.6,72.4,77.4,42.4,39.6,"No","Pumped tires up: check fuel economy improved?",16.2666666666667
"11/17/2011","Nov","Thursday","7:42","GSK",51.67,127,70.9,77.7,43.7,39.9,"No","",7.7
"11/16/2011","Nov","Wednesday","16:13","Home",51.12,125.1,65,73.1,47.2,41.9,"No","Backed up at Bronte",16.2166666666667
"11/16/2011","Nov","Wednesday","7:26","GSK",51.7,129.8,73.4,80.4,42.3,38.6,"No","",7.43333333333333
"11/15/2011","Nov","Tuesday","17:36","Home",51.06,122.8,61.4,70.9,49.9,43.2,"No","Backed up at Bronte",17.6
"11/15/2011","Nov","Tuesday","7:21","GSK",51.5,127.6,70.5,77.7,43.8,39.8,"No","",7.35
"11/14/2011","Nov","Monday","16:15","Home",51.06,119.5,64.4,70.2,47.6,43.6,"No","",16.25
"11/14/2011","Nov","Monday","7:19","GSK",51.66,126.4,55.2,59.1,56.1,52.5,"No","",7.31666666666667
"11/10/2011","Nov","Thursday","16:11","Home",51.07,129.8,75.2,82.6,40.8,37.1,"No","",16.1833333333333
"11/10/2011","Nov","Thursday","7:25","GSK",51.68,132.5,69.8,74.7,44.4,41.5,"No","",7.41666666666667
"11/9/2011","Nov","Wednesday","16:15","Home",51.28,121.4,65.9,71.8,46.7,42.1,"No","Rainy",16.25
"11/9/2011","Nov","Wednesday","7:25","GSK",51.79,127.5,65.6,72.4,47.3,42.9,"No","",7.41666666666667
"11/8/2011","Nov","Tuesday","17:24","Home",50.75,131.3,89.5,93.5,34.3,32.6,"Yes","",17.4
"11/8/2011","Nov","Tuesday","7:25","GSK",51.82,126.8,66.1,73.9,47,42.1,"No","",7.41666666666667
"11/7/2011","Nov","Monday","16:05","Home",51.06,127.4,80.4,85.2,38.1,36,"No","",16.0833333333333
"11/7/2011","Nov","Monday","7:19","GSK",51.62,125.4,74.9,82.9,41.4,37.4,"No","",7.31666666666667
"11/4/2011","Nov","Friday","12:12","Home",51.03,128.4,82.2,89.7,37.2,34.1,"No","",12.2
"11/4/2011","Nov","Friday","8:16","GSK",51.81,130.2,82.1,85,37.9,36.6,"No","",8.26666666666667
"11/3/2011","Nov","Thursday","17:00","Home",51.07,130.3,75.8,81.7,40.4,37.5,"No","",17
"11/3/2011","Nov","Thursday","7:46","GSK",51.83,133,80.6,85.4,38.6,36.4,"No","",7.76666666666667
"11/2/2011","Nov","Wednesday","16:45","Home",51.27,121.5,75.1,79.1,41,38.9,"No","",16.75
"11/2/2011","Nov","Wednesday","7:51","GSK",51.83,129.3,72.5,78.1,42.9,39.8,"No","",7.85
"11/1/2011","Nov","Tuesday","8:13","GSK",51.74,129.7,71.8,79.4,43.2,39.1,"No","",8.21666666666667
"10/31/2011","Oct","Monday","15:49","Home",51.06,125,76.4,85.7,40.1,35.7,"No","",15.8166666666667
"10/31/2011","Oct","Monday","6:21","GSK",50.58,125,104.4,106.2,29.1,28.6,"Yes","",6.35
"10/28/2011","Oct","Friday","12:14","Home",51.28,120.5,83,89.5,37.1,34.4,"No","",12.2333333333333
"10/27/2011","Oct","Thursday","8:20","GSK",51.77,125.6,82.4,89.5,37.7,34.7,"No","",8.33333333333333
"10/26/2011","Oct","Wednesday","8:20","GSK",51.75,127.9,74.6,81.7,41.6,38,"No","",8.33333333333333
"10/25/2011","Oct","Tuesday","17:24","Home",52.87,123.5,65.1,72.4,48.7,43.8,"No","Rain, rain, rain",17.4
"10/25/2011","Oct","Tuesday","8:13","GSK",51.75,127.4,72.1,82,43.1,37.8,"No","",8.21666666666667
"10/24/2011","Oct","Monday","17:29","Home",51.06,126.5,71.6,78.6,42.8,39,"No","",17.4833333333333
"10/21/2011","Oct","Friday","8:31","GSK",50.64,129,106.6,112.1,28.5,27.1,"Yes","",8.51666666666667
"10/20/2011","Oct","Thursday","17:37","Home",51.33,125.2,72.5,79.6,42.5,38.7,"No","",17.6166666666667
"10/20/2011","Oct","Thursday","8:22","GSK",51.74,124.5,68.9,79.2,45,39.2,"No","",8.36666666666667
"10/19/2011","Oct","Wednesday","17:39","Home",51.3,126.2,63.4,73.3,48.6,42,"No","",17.65
"10/19/2011","Oct","Wednesday","8:24","GSK",51.68,130.2,75.7,81.6,41,38,"No","",8.4
"10/18/2011","Oct","Tuesday","17:28","Home",51.36,133.1,69.5,79.1,44.4,38.9,"No","",17.4666666666667
"10/18/2011","Oct","Tuesday","8:14","GSK",51.74,130.8,80.8,85.2,38.4,36.5,"No","",8.23333333333333
"10/17/2011","Oct","Monday","16:58","Home",51.3,127.3,78.6,82.9,39.1,37.1,"No","",16.9666666666667
"10/17/2011","Oct","Monday","8:22","GSK",50.61,137.1,93.7,100.3,32.4,30.3,"Yes","",8.36666666666667
"10/13/2011","Oct","Thursday","8:36","GSK",50.66,128.3,105.5,111.3,28.8,27.3,"Yes","",8.6
"10/12/2011","Oct","Wednesday","17:47","Home",51.4,114.4,59.7,65.8,51.7,46.9,"No","Rain, rain, rain",17.7833333333333
"10/12/2011","Oct","Wednesday","8:28","GSK",50.58,128.4,59.5,67.3,51,45.1,"Yes","Accident: backup from Hamilton to 407 ramp",8.46666666666667
"10/11/2011","Oct","Tuesday","17:17","Home",51.52,135.1,67.3,78.4,46,39.5,"No","",17.2833333333333
"10/11/2011","Oct","Tuesday","8:25","GSK",48.94,130.8,85.7,93.2,34.3,31.5,"Yes","",8.41666666666667
"10/7/2011","Oct","Friday","12:15","Home",51.02,124.8,80.4,88.9,38.1,34.4,"Yes","",12.25
"10/7/2011","Oct","Friday","8:23","GSK",50.68,128.3,101.9,107.2,29.9,28.4,"Yes","",8.38333333333333
"10/6/2011","Oct","Thursday","17:58","Home",51.29,126,73.3,76.3,42,40.3,"No","",17.9666666666667
"10/6/2011","Oct","Thursday","8:22","GSK",50.63,125.6,38.5,103.8,30.8,29.3,"Yes","",8.36666666666667
"10/5/2011","Oct","Wednesday","17:10","Home",51.31,127.5,69.5,75.5,44.3,40.8,"No","",17.1666666666667
"10/5/2011","Oct","Wednesday","8:36","GSK",50.59,128.5,103.4,108,29.4,28.1,"Yes","",8.6
"10/4/2011","Oct","Tuesday","17:39","Home",51.15,128.8,76,85.2,40.4,36,"No","",17.65
"10/4/2011","Oct","Tuesday","7:42","GSK",50.67,127.3,94.9,97.9,32,31.1,"Yes","",7.7
"10/3/2011","Oct","Monday","17:31","Home",51.22,126.7,81.2,86.4,37.8,35.6,"No","",17.5166666666667
"10/3/2011","Oct","Monday","7:41","GSK",50.65,127.4,91.1,95.2,33.4,31.9,"Yes","",7.68333333333333
"9/29/2011","Sept","Thursday","17:17","Home",51.39,128.4,65.3,71.9,47.2,42.9,"No","",17.2833333333333
"9/29/2011","Sept","Thursday","8:22","GSK",50.65,122.8,83.5,86.9,36.4,35,"Yes","",8.36666666666667
"9/28/2011","Sept","Wednesday","17:53","Home",51.23,124.9,79.2,81.5,38.8,37.7,"No","",17.8833333333333
"9/28/2011","Sept","Wednesday","7:57","GSK",50.65,128.8,102.2,105.7,29.7,28.7,"Yes","",7.95
"9/27/2011","Sept","Tuesday","17:26","Home",51.11,130.1,69.8,75.6,44,40.6,"No","",17.4333333333333
"9/27/2011","Sept","Tuesday","7:36","GSK",50.65,128.1,86.3,88.6,35.2,34.3,"Yes","Raining",7.6
"9/26/2011","Sept","Monday","17:37","Home",50.69,132.3,97.2,103.6,31.3,29.3,"Yes","",17.6166666666667
"9/26/2011","Sept","Monday","8:02","GSK",50.65,129.4,88.2,91.3,34.4,33.3,"Yes","",8.03333333333333
"9/22/2011","Sept","Thursday","17:27","Home",51.11,124.8,74.3,79.6,41.3,38.5,"No","",17.45
"9/22/2011","Sept","Thursday","7:37","GSK",50.67,130,97.6,101.6,31.1,29.9,"Yes","",7.61666666666667
"9/21/2011","Sept","Wednesday","18:05","Home",51.74,133.3,82.9,89.2,37.4,34.8,"Yes","",18.0833333333333
"9/21/2011","Sept","Wednesday","8:02","GSK",49.16,128.7,59.5,68,49.6,43.4,"No","",8.03333333333333
"9/20/2011","Sept","Tuesday","17:20","Home",51.23,127.2,71.7,76.9,42.9,40,"No","",17.3333333333333
"9/20/2011","Sept","Tuesday","8:10","GSK",51.69,128.7,70.4,70.1,44.1,39.7,"No","",8.16666666666667
"9/19/2011","Sept","Monday","16:43","Home",51.3,123.9,69.6,75.2,44.2,40.9,"No","",16.7166666666667
"9/19/2011","Sept","Monday","6:34","GSK",49.09,123.7,69.4,79.1,42.4,37.3,"No","",6.56666666666667
"9/15/2011","Sept","Thursday","17:50","Home",51.13,127.5,69,75.9,44.4,40.4,"No","",17.8333333333333
"9/15/2011","Sept","Thursday","8:08","GSK",50.67,129.3,99,103.3,30.7,29.4,"Yes","",8.13333333333333
"9/14/2011","Sept","Wednesday","17:36","Home",51.77,127,71.1,79.6,43.7,39,"No","",17.6
"9/14/2011","Sept","Wednesday","8:11","GSK",50.54,126.8,98.7,103.7,30.7,29.3,"Yes","",8.18333333333333
"9/13/2011","Sept","Tuesday","17:22","Home",51.58,134.3,70,80,44.2,38.7,"No","",17.3666666666667
"9/13/2011","Sept","Tuesday","7:51","GSK",49.12,129.1,52.7,63.2,55.9,46.6,"No","",7.85
"9/12/2011","Sept","Monday","17:04","Home",51.43,131.1,75.1,79.5,40.6,38.8,"No","",17.0666666666667
"9/12/2011","Sept","Monday","8:05","GSK",49.12,127.5,65.7,73.1,44.8,40.3,"No","",8.08333333333333
"9/8/2011","Sept","Thursday","16:37","Home",50.92,137,66.9,77.7,45.6,39.3,"No","",16.6166666666667
"9/8/2011","Sept","Thursday","7:23","GSK",49.25,124.7,53.5,63.1,55.2,46.9,"No","",7.38333333333333
"9/7/2011","Sept","Wednesday","17:24","Home",51.34,132.8,71.5,76.6,43.1,40.2,"No","",17.4
"9/7/2011","Sept","Wednesday","7:57","GSK",49.08,125.1,56.5,66.5,52.1,44.3,"No","Back to school traffic?",7.95
"9/6/2011","Sept","Tuesday","16:27","Home",52.88,131.6,95.4,98.3,33.3,32.3,"Yes","Took 407 all the way (to McMaster)",16.45
"9/6/2011","Sept","Tuesday","7:50","GSK",54.36,132.5,95.1,98,34.3,33.3,"Yes","",7.83333333333333
"9/2/2011","Sept","Friday","17:07","Home",51.17,129.7,77.7,87.9,39.5,34.9,"No","",17.1166666666667
"9/2/2011","Sept","Friday","7:39","GSK",51.65,132.7,82.6,91.4,37.5,33.9,"No","",7.65
"9/1/2011","Sept","Thursday","17:33","Home",52.42,128.9,81.6,88,38.5,35.7,"No","",17.55
"9/1/2011","Sept","Thursday","8:08","GSK",49.13,126.8,67.3,73.9,43.8,39.9,"No","",8.13333333333333
"8/31/2011","Aug","Wednesday","17:14","Home",51.15,140.9,71.5,79.5,42.9,38.6,"No","",17.2333333333333
"8/31/2011","Aug","Wednesday","8:09","GSK",49.07,127.7,65.9,77.3,44.7,38.1,"No","",8.15
"8/30/2011","Aug","Tuesday","17:38","Home",51.66,138,67.1,73.2,46.2,42.4,"No","",17.6333333333333
"8/30/2011","Aug","Tuesday","7:57","GSK",49.04,133.5,69.1,77.8,42.6,37.8,"No","",7.95
"8/29/2011","Aug","Monday","17:11","Home",51.04,131,75.5,84.1,40.5,36.4,"No","",17.1833333333333
"8/29/2011","Aug","Monday","7:48","GSK",49.15,124,63.9,74,46.1,39.9,"No","",7.8
"8/26/2011","Aug","Friday","16:29","Home",50.88,132.7,81.1,86.9,37.6,35.2,"No","",16.4833333333333
"8/26/2011","Aug","Friday","7:49","GSK",49.01,129.1,76.3,83.3,38.6,35.3,"No","",7.81666666666667
"8/25/2011","Aug","Thursday","17:39","Home",51.23,132.8,64.2,70.6,47.9,43.5,"No","",17.65
"8/25/2011","Aug","Thursday","9:09","GSK",50.45,133.5,106.8,111.1,28.3,27.3,"Yes","",9.15
"8/24/2011","Aug","Wednesday","16:47","Home",51.01,132.9,79.6,86.1,38.5,38.5,"No","",16.7833333333333
"8/24/2011","Aug","Wednesday","7:59","GSK",49.07,127.1,58.5,71.5,50.3,41.1,"No","Heavy volume on Derry",7.98333333333333
"8/23/2011","Aug","Tuesday","17:23","Home",51.22,129.7,79.7,84.5,38.5,36.4,"No","",17.3833333333333
"8/23/2011","Aug","Tuesday","7:54","GSK",49.2,124.5,71,76.7,41.6,38.5,"No","",7.9
"8/22/2011","Aug","Monday","16:44","Home",51.12,126.8,77.9,85.2,39.6,36,"No","",16.7333333333333
"8/22/2011","Aug","Monday","7:49","GSK",49.18,123.8,65.6,73.3,45,40.2,"No","",7.81666666666667
"8/19/2011","Aug","Friday","17:42","Home",51.09,126.5,78.1,81.6,39.3,37.6,"No","",17.7
"8/19/2011","Aug","Friday","7:05","GSK",49.18,123,72,81.4,41,36.3,"No","Start early to run a batch",7.08333333333333
"8/18/2011","Aug","Thursday","17:05","Home",50.97,129.6,66.6,76.2,45.9,40.2,"No","",17.0833333333333
"8/18/2011","Aug","Thursday","8:11","GSK",52.26,137.7,51.2,64.1,61.2,48.9,"No","Accident at 403/highway 6; detour along Dundas",8.18333333333333
"8/17/2011","Aug","Wednesday","17:17","Home",51.11,129.8,68.9,75.7,44.5,40.5,"No","",17.2833333333333
"8/17/2011","Aug","Wednesday","8:10","GSK",49.1,124.8,67.9,76.2,43.4,38.7,"No","",8.16666666666667
"8/16/2011","Aug","Tuesday","17:27","Home",51.14,133.4,82.4,87,37.2,35.3,"No","",17.45
"8/16/2011","Aug","Tuesday","8:15","GSK",49.14,131.7,75,80.2,39.3,36.7,"No","",8.25
"8/15/2011","Aug","Monday","17:38","Home",51.11,132.3,78,83.7,39.3,36.7,"No","",17.6333333333333
"8/15/2011","Aug","Monday","8:15","GSK",49.2,124.7,71.3,75.7,41.4,39,"No","",8.25
"8/12/2011","Aug","Friday","17:25","Home",55.57,127.7,69.6,77.1,47.9,43.2,"No","Detour taken",17.4166666666667
"8/12/2011","Aug","Friday","8:05","GSK",49.02,128.4,76.7,82.9,38.4,35.5,"No","Must be Friday",8.08333333333333
"8/11/2011","Aug","Thursday","17:25","Home",51.18,133.6,80.7,86,38,35.7,"No","",17.4166666666667
"8/11/2011","Aug","Thursday","8:13","GSK",48.99,125.5,68.3,79.5,43,37,"No","",8.21666666666667
"8/10/2011","Aug","Wednesday","17:14","Home",51.03,127.4,73.5,79.3,41.7,38.6,"No","",17.2333333333333
"8/10/2011","Aug","Wednesday","8:13","GSK",48.98,124.8,72.8,78.8,40.4,37.3,"No","",8.21666666666667
"8/9/2011","Aug","Tuesday","17:13","Home",51.15,127.1,72.1,82.3,42.5,37.3,"No","",17.2166666666667
"8/9/2011","Aug","Tuesday","8:15","GSK",49.08,134.8,60.5,67.2,48.7,43.8,"No","Medium amount of rain",8.25
"8/8/2011","Aug","Monday","17:05","Home",52.35,127.5,76.9,84.2,40.9,37.3,"No","",17.0833333333333
"8/8/2011","Aug","Monday","8:07","GSK",49.25,126.3,68.5,78.2,43.1,37.8,"No","New tires",8.11666666666667
"8/5/2011","Aug","Friday","17:00","Home",51.94,126.7,74.5,82.6,41.9,37.7,"No","",17
"8/5/2011","Aug","Friday","8:20","GSK",49.13,123.9,74.1,79.9,39.8,36.9,"No","",8.33333333333333
"8/4/2011","Aug","Thursday","17:38","Home",50.96,131.9,70.3,78.5,43.5,38.9,"No","",17.6333333333333
"8/4/2011","Aug","Thursday","8:17","GSK",49.12,122.4,71.5,77.3,41.2,38.2,"No","",8.28333333333333
"8/3/2011","Aug","Wednesday","17:14","Home",51.64,125,72.2,78.7,42.9,39.4,"No","",17.2333333333333
"8/3/2011","Aug","Wednesday","8:06","GSK",49.06,121.9,71.5,78.7,41.2,37.4,"No","",8.1
"8/2/2011","Aug","Tuesday","17:22","Home",51.16,124.2,76.3,83.2,40.2,36.9,"No","",17.3666666666667
"8/2/2011","Aug","Tuesday","7:38","GSK",53.48,124.9,68.8,78.8,46.7,40.7,"No","Turn around on Derry",7.63333333333333
"7/29/2011","July","Friday","20:31","Home",50.68,135.6,107.7,110.4,28.2,27.6,"Yes","",20.5166666666667
"7/29/2011","July","Friday","8:22","GSK",49.07,121.1,73.2,77.7,40.2,37.9,"No","Empty roads",8.36666666666667
"7/28/2011","July","Thursday","17:46","Home",51.09,128.5,76,84.8,40.3,36.2,"No","",17.7666666666667
"7/28/2011","July","Thursday","8:11","GSK",49.11,120.1,69.1,73.1,42.6,40.3,"No","",8.18333333333333
"7/27/2011","July","Wednesday","17:24","Home",50.98,124.9,68.3,71.9,44.8,42.6,"No","Police slowdown on 403",17.4
"7/27/2011","July","Wednesday","8:15","GSK",48.82,124.5,70.4,77.8,41.6,37.6,"No","",8.25
"7/26/2011","July","Tuesday","17:15","Home",51.28,122.1,43.7,51.5,70.5,59.8,"No","Accident blocked 407 exit",17.25
"7/26/2011","July","Tuesday","8:11","GSK",49.16,122.6,71.9,76.8,41,38.4,"No","",8.18333333333333
"7/25/2011","July","Monday","16:59","Home",51.05,126.6,70.4,78.8,51.1,38.9,"No","",16.9833333333333
"7/25/2011","July","Monday","8:06","GSK",48.32,121.2,63.4,78.4,45.7,37,"No","",8.1
"7/22/2011","July","Friday","16:47","Home",51.24,126.3,75.8,81.8,40.6,37.6,"No","",16.7833333333333
"7/22/2011","July","Friday","8:28","GSK",51.05,123.3,88.9,96.7,34.5,31.7,"Yes","",8.46666666666667
"7/21/2011","July","Thursday","7:59","GSK",48.35,129.3,81.5,89,35.6,32.6,"Yes","",7.98333333333333
"7/20/2011","July","Wednesday","17:17","Home",53.47,124,58.6,71,54.8,45.2,"No","",17.2833333333333
"7/20/2011","July","Wednesday","8:24","GSK",48.5,125.8,75.7,87.3,38.5,33.3,"Yes","",8.4
"7/19/2011","July","Tuesday","17:17","Home",51.16,126.7,92.2,102.6,33.3,29.9,"Yes","",17.2833333333333
"7/19/2011","July","Tuesday","8:11","GSK",50.96,124.3,82.3,96.4,37.2,31.7,"Yes","",8.18333333333333
"7/18/2011","July","Monday","8:09","GSK",54.52,125.6,49.9,82.4,65.5,39.7,"No","",8.15
"7/14/2011","July","Thursday","8:03","GSK",50.9,123.7,76.2,95.1,40.1,32.1,"Yes","",8.05
"7/13/2011","July","Wednesday","17:08","Home",51.96,132.6,57.5,76.7,54.2,40.6,"Yes","",17.1333333333333
"7/12/2011","July","Tuesday","17:51","Home",53.28,125.8,61.6,87.6,51.9,36.5,"Yes","",17.85
"7/11/2011","July","Monday","16:56","Home",51.73,125,62.8,92.5,49.5,33.6,"Yes","",16.9333333333333
