"Subject","DeathPenalty","OffenderRace","VictimRace"
191,"not","white","black"
192,"not","white","black"
193,"not","white","black"
194,"not","white","black"
195,"not","white","black"
196,"not","white","black"
197,"not","white","black"
198,"not","white","black"
236,"death","black","black"
278,"not","black","black"
279,"not","black","black"
280,"not","black","black"
281,"not","black","black"
282,"not","black","black"
283,"not","black","black"
284,"not","black","black"
285,"not","black","black"
286,"not","black","black"
287,"not","black","black"
288,"not","black","black"
289,"not","black","black"
290,"not","black","black"
291,"not","black","black"
292,"not","black","black"
293,"not","black","black"
294,"not","black","black"
295,"not","black","black"
296,"not","black","black"
297,"not","black","black"
298,"not","black","black"
299,"not","black","black"
300,"not","black","black"
301,"not","black","black"
302,"not","black","black"
303,"not","black","black"
304,"not","black","black"
305,"not","black","black"
306,"not","black","black"
307,"not","black","black"
308,"not","black","black"
309,"not","black","black"
310,"not","black","black"
311,"not","black","black"
312,"not","black","black"
313,"not","black","black"
314,"not","black","black"
315,"not","black","black"
316,"not","black","black"
317,"not","black","black"
318,"not","black","black"
319,"not","black","black"
320,"not","black","black"
321,"not","black","black"
322,"not","black","black"
323,"not","black","black"
324,"not","black","black"
325,"not","black","black"
326,"not","black","black"
327,"not","black","black"
328,"not","black","black"
329,"not","black","black"
330,"not","black","black"
331,"not","black","black"
332,"not","black","black"
333,"not","black","black"
334,"not","black","black"
335,"not","black","black"
336,"not","black","black"
337,"not","black","black"
338,"not","black","black"
339,"not","black","black"
340,"not","black","black"
341,"not","black","black"
342,"not","black","black"
343,"not","black","black"
344,"not","black","black"
345,"not","black","black"
346,"not","black","black"
347,"not","black","black"
348,"not","black","black"
349,"not","black","black"
350,"not","black","black"
351,"not","black","black"
352,"not","black","black"
353,"not","black","black"
354,"not","black","black"
355,"not","black","black"
356,"not","black","black"
357,"not","black","black"
358,"not","black","black"
359,"not","black","black"
360,"not","black","black"
361,"not","black","black"
362,"not","black","black"
363,"not","black","black"
364,"not","black","black"
365,"not","black","black"
366,"not","black","black"
367,"not","black","black"
368,"not","black","black"
369,"not","black","black"
370,"not","black","black"
371,"not","black","black"
372,"not","black","black"
373,"not","black","black"
374,"not","black","black"
375,"not","black","black"
376,"not","black","black"
377,"not","black","black"
378,"not","black","black"
