"","age","y","sex","family.name","status"
"Breen_Margaret_Bulger",40,"survived","Female","Breen","Family"
"Breen_Patrick",51,"survived","Male","Breen","Family"
"Donner_Elizabeth_Blue_Hook",45,"died","Female","J_Donner","Family"
"Donner_George",61,"died","Male","G_Donner","Family"
"Donner_Jacob",56,"died","Male","J_Donner","Family"
"Donner_Tamzene",44,"died","Female","G_Donner","Family"
"Eddy_Eleanor_Priscilla",25,"died","Female","Eddy","Family"
"Eddy_William_Henry",28,"survived","Male","Eddy","Family"
"Elliott_Milford",28,"died","Male","Hired","Hired"
"Fosdick_Jay",23,"died","Male","Graves","Family"
"Fosdick_Sarah_Graves",21,"survived","Female","Graves","Family"
"Foster_Sarah_Ann_Charlotte_Murphy",19,"survived","Female","Murphy-Foster-Pike","Family"
"Foster_William_McFadden",30,"survived","Male","Murphy-Foster-Pike","Family"
"Graves_Elizabeth_Cooper",45,"died","Female","Graves","Family"
"Graves_Franklin_Ward",57,"died","Male","Graves","Family"
"Graves_Mary_Ann",19,"survived","Female","Graves","Family"
"Hardcoop_Mr",60,"died","Male","Hired","Hired"
"Herron_Walter",27,"survived","Male","Hired","Hired"
"Keseberg_Elisabeth_Philippine_Zimmerman",23,"survived","Female","Keseberg","Family"
"Keseberg_Johann_Ludwig_Christian",32,"survived","Male","Keseberg","Family"
"Keyes_Sarah_Handley",70,"died","Female","Reed-Keyes","Family"
"McCutchen_Amanda_Henderson",25,"survived","Female","McCutchen","Family"
"McCutchen_William",30,"survived","Male","McCutchen","Family"
"Miller_Hiram_O.",30,"survived","Male","Hired","Hired"
"Murphy_Levinah_W._Jackson",36,"died","Female","Murphy-Foster-Pike","Family"
"Pike_Harriet_Frances_Murphy",18,"survived","Female","Murphy-Foster-Pike","Family"
"Pike_William_M.",25,"died","Male","Murphy-Foster-Pike","Family"
"Reed_James_Frazier",45,"survived","Male","Reed-Keyes","Family"
"Reed_Margret_Wilson_Keyes_Backenstoe",32,"survived","Female","Reed-Keyes","Family"
"Wolfinger_Doris",20,"survived","Female","Wolfinger","Family"
"Burger_Charles",30,"died","Male","Hired","Hired"
"Denton_John",30,"died","Male","Hired","Hired"
"Shoemaker_Samuel",25,"died","Male","Hired","Hired"
"Smith_James",25,"died","Male","Hired","Hired"
"Snyder_John",25,"died","Male","Hired","Hired"
"Williams_Baylis",25,"died","Male","Hired","Hired"
"Williams_Eliza",31,"survived","Female","Hired","Hired"
"Antonio",23,"died","Male","Hired","Hired"
"Dolan_Patrick",35,"died","Male","Single","Single"
"Halloran_Luke",25,"died","Male","Single","Single"
"Reinhardt_Joseph",30,"died","Male","Single","Single"
"Spitzer_Augustus",30,"died","Male","Single","Single"
"Stanton_Charles_Tyler",35,"died","Male","Single","Single"
