"","Hair","Eye","Sex"
"1","Black","Brown","Male"
"1.1","Black","Brown","Male"
"1.2","Black","Brown","Male"
"1.3","Black","Brown","Male"
"1.4","Black","Brown","Male"
"1.5","Black","Brown","Male"
"1.6","Black","Brown","Male"
"1.7","Black","Brown","Male"
"1.8","Black","Brown","Male"
"1.9","Black","Brown","Male"
"1.10","Black","Brown","Male"
"1.11","Black","Brown","Male"
"1.12","Black","Brown","Male"
"1.13","Black","Brown","Male"
"1.14","Black","Brown","Male"
"1.15","Black","Brown","Male"
"1.16","Black","Brown","Male"
"1.17","Black","Brown","Male"
"1.18","Black","Brown","Male"
"1.19","Black","Brown","Male"
"1.20","Black","Brown","Male"
"1.21","Black","Brown","Male"
"1.22","Black","Brown","Male"
"1.23","Black","Brown","Male"
"1.24","Black","Brown","Male"
"1.25","Black","Brown","Male"
"1.26","Black","Brown","Male"
"1.27","Black","Brown","Male"
"1.28","Black","Brown","Male"
"1.29","Black","Brown","Male"
"1.30","Black","Brown","Male"
"1.31","Black","Brown","Male"
"2","Brown","Brown","Male"
"2.1","Brown","Brown","Male"
"2.2","Brown","Brown","Male"
"2.3","Brown","Brown","Male"
"2.4","Brown","Brown","Male"
"2.5","Brown","Brown","Male"
"2.6","Brown","Brown","Male"
"2.7","Brown","Brown","Male"
"2.8","Brown","Brown","Male"
"2.9","Brown","Brown","Male"
"2.10","Brown","Brown","Male"
"2.11","Brown","Brown","Male"
"2.12","Brown","Brown","Male"
"2.13","Brown","Brown","Male"
"2.14","Brown","Brown","Male"
"2.15","Brown","Brown","Male"
"2.16","Brown","Brown","Male"
"2.17","Brown","Brown","Male"
"2.18","Brown","Brown","Male"
"2.19","Brown","Brown","Male"
"2.20","Brown","Brown","Male"
"2.21","Brown","Brown","Male"
"2.22","Brown","Brown","Male"
"2.23","Brown","Brown","Male"
"2.24","Brown","Brown","Male"
"2.25","Brown","Brown","Male"
"2.26","Brown","Brown","Male"
"2.27","Brown","Brown","Male"
"2.28","Brown","Brown","Male"
"2.29","Brown","Brown","Male"
"2.30","Brown","Brown","Male"
"2.31","Brown","Brown","Male"
"2.32","Brown","Brown","Male"
"2.33","Brown","Brown","Male"
"2.34","Brown","Brown","Male"
"2.35","Brown","Brown","Male"
"2.36","Brown","Brown","Male"
"2.37","Brown","Brown","Male"
"2.38","Brown","Brown","Male"
"2.39","Brown","Brown","Male"
"2.40","Brown","Brown","Male"
"2.41","Brown","Brown","Male"
"2.42","Brown","Brown","Male"
"2.43","Brown","Brown","Male"
"2.44","Brown","Brown","Male"
"2.45","Brown","Brown","Male"
"2.46","Brown","Brown","Male"
"2.47","Brown","Brown","Male"
"2.48","Brown","Brown","Male"
"2.49","Brown","Brown","Male"
"2.50","Brown","Brown","Male"
"2.51","Brown","Brown","Male"
"2.52","Brown","Brown","Male"
"3","Red","Brown","Male"
"3.1","Red","Brown","Male"
"3.2","Red","Brown","Male"
"3.3","Red","Brown","Male"
"3.4","Red","Brown","Male"
"3.5","Red","Brown","Male"
"3.6","Red","Brown","Male"
"3.7","Red","Brown","Male"
"3.8","Red","Brown","Male"
"3.9","Red","Brown","Male"
"4","Blond","Brown","Male"
"4.1","Blond","Brown","Male"
"4.2","Blond","Brown","Male"
"5","Black","Blue","Male"
"5.1","Black","Blue","Male"
"5.2","Black","Blue","Male"
"5.3","Black","Blue","Male"
"5.4","Black","Blue","Male"
"5.5","Black","Blue","Male"
"5.6","Black","Blue","Male"
"5.7","Black","Blue","Male"
"5.8","Black","Blue","Male"
"5.9","Black","Blue","Male"
"5.10","Black","Blue","Male"
"6","Brown","Blue","Male"
"6.1","Brown","Blue","Male"
"6.2","Brown","Blue","Male"
"6.3","Brown","Blue","Male"
"6.4","Brown","Blue","Male"
"6.5","Brown","Blue","Male"
"6.6","Brown","Blue","Male"
"6.7","Brown","Blue","Male"
"6.8","Brown","Blue","Male"
"6.9","Brown","Blue","Male"
"6.10","Brown","Blue","Male"
"6.11","Brown","Blue","Male"
"6.12","Brown","Blue","Male"
"6.13","Brown","Blue","Male"
"6.14","Brown","Blue","Male"
"6.15","Brown","Blue","Male"
"6.16","Brown","Blue","Male"
"6.17","Brown","Blue","Male"
"6.18","Brown","Blue","Male"
"6.19","Brown","Blue","Male"
"6.20","Brown","Blue","Male"
"6.21","Brown","Blue","Male"
"6.22","Brown","Blue","Male"
"6.23","Brown","Blue","Male"
"6.24","Brown","Blue","Male"
"6.25","Brown","Blue","Male"
"6.26","Brown","Blue","Male"
"6.27","Brown","Blue","Male"
"6.28","Brown","Blue","Male"
"6.29","Brown","Blue","Male"
"6.30","Brown","Blue","Male"
"6.31","Brown","Blue","Male"
"6.32","Brown","Blue","Male"
"6.33","Brown","Blue","Male"
"6.34","Brown","Blue","Male"
"6.35","Brown","Blue","Male"
"6.36","Brown","Blue","Male"
"6.37","Brown","Blue","Male"
"6.38","Brown","Blue","Male"
"6.39","Brown","Blue","Male"
"6.40","Brown","Blue","Male"
"6.41","Brown","Blue","Male"
"6.42","Brown","Blue","Male"
"6.43","Brown","Blue","Male"
"6.44","Brown","Blue","Male"
"6.45","Brown","Blue","Male"
"6.46","Brown","Blue","Male"
"6.47","Brown","Blue","Male"
"6.48","Brown","Blue","Male"
"6.49","Brown","Blue","Male"
"7","Red","Blue","Male"
"7.1","Red","Blue","Male"
"7.2","Red","Blue","Male"
"7.3","Red","Blue","Male"
"7.4","Red","Blue","Male"
"7.5","Red","Blue","Male"
"7.6","Red","Blue","Male"
"7.7","Red","Blue","Male"
"7.8","Red","Blue","Male"
"7.9","Red","Blue","Male"
"8","Blond","Blue","Male"
"8.1","Blond","Blue","Male"
