"Sex","AgeGrp","HeadSize","BrainWeight"
"Male","45-",4512,1530
"Male","45-",3738,1297
"Male","45-",4261,1335
"Male","45-",3777,1282
"Male","45-",4177,1590
"Male","45-",3585,1300
"Male","45-",3785,1400
"Male","45-",3559,1255
"Male","45-",3613,1355
"Male","45-",3982,1375
"Male","45-",3443,1340
"Male","45-",3993,1380
"Male","45-",3640,1355
"Male","45-",4208,1522
"Male","45-",3832,1208
"Male","45-",3876,1405
"Male","45-",3497,1358
"Male","45-",3466,1292
"Male","45-",3095,1340
"Male","45-",4424,1400
"Male","45-",3878,1357
"Male","45-",4046,1287
"Male","45-",3804,1275
"Male","45-",3710,1270
"Male","45-",4747,1635
"Male","45-",4423,1505
"Male","45-",4036,1490
"Male","45-",4022,1485
"Male","45-",3454,1310
"Male","45-",4175,1420
"Male","45-",3787,1318
"Male","45-",3796,1432
"Male","45-",4103,1364
"Male","45-",4161,1405
"Male","45-",4158,1432
"Male","45-",3814,1207
"Male","45-",3527,1375
"Male","45-",3748,1350
"Male","45-",3334,1236
"Male","45-",3492,1250
"Male","45-",3962,1350
"Male","45-",3505,1320
"Male","45-",4315,1525
"Male","45-",3804,1570
"Male","45-",3863,1340
"Male","45-",4034,1422
"Male","45-",4308,1506
"Male","45-",3165,1215
"Male","45-",3641,1311
"Male","45-",3644,1300
"Male","45-",3891,1224
"Male","45-",3793,1350
"Male","45-",4270,1335
"Male","45-",4063,1390
"Male","45-",4012,1400
"Male","45-",3458,1225
"Male","45-",3890,1310
"Male","45+",4166,1560
"Male","45+",3935,1330
"Male","45+",3669,1222
"Male","45+",3866,1415
"Male","45+",3393,1175
"Male","45+",4442,1330
"Male","45+",4253,1485
"Male","45+",3727,1470
"Male","45+",3329,1135
"Male","45+",3415,1310
"Male","45+",3372,1154
"Male","45+",4430,1510
"Male","45+",4381,1415
"Male","45+",4008,1468
"Male","45+",3858,1390
"Male","45+",4121,1380
"Male","45+",4057,1432
"Male","45+",3824,1240
"Male","45+",3394,1195
"Male","45+",3558,1225
"Male","45+",3362,1188
"Male","45+",3930,1252
"Male","45+",3835,1315
"Male","45+",3830,1245
"Male","45+",3856,1430
"Male","45+",3249,1279
"Male","45+",3577,1245
"Male","45+",3933,1309
"Male","45+",3850,1412
"Male","45+",3309,1120
"Male","45+",3406,1220
"Male","45+",3506,1280
"Male","45+",3907,1440
"Male","45+",4160,1370
"Male","45+",3318,1192
"Male","45+",3662,1230
"Male","45+",3899,1346
"Male","45+",3700,1290
"Male","45+",3779,1165
"Male","45+",3473,1240
"Male","45+",3490,1132
"Male","45+",3654,1242
"Male","45+",3478,1270
"Male","45+",3495,1218
"Male","45+",3834,1430
"Male","45+",3876,1588
"Male","45+",3661,1320
"Male","45+",3618,1290
"Male","45+",3648,1260
"Male","45+",4032,1425
"Male","45+",3399,1226
"Male","45+",3916,1360
"Male","45+",4430,1620
"Male","45+",3695,1310
"Male","45+",3524,1250
"Male","45+",3571,1295
"Male","45+",3594,1290
"Male","45+",3383,1290
"Male","45+",3499,1275
"Male","45+",3589,1250
"Male","45+",3900,1270
"Male","45+",4114,1362
"Male","45+",3937,1300
"Male","45+",3399,1173
"Male","45+",4200,1256
"Male","45+",4488,1440
"Male","45+",3614,1180
"Male","45+",4051,1306
"Male","45+",3782,1350
"Male","45+",3391,1125
"Male","45+",3124,1165
"Male","45+",4053,1312
"Male","45+",3582,1300
"Male","45+",3666,1270
"Male","45+",3532,1335
"Male","45+",4046,1450
"Male","45+",3667,1310
"Female","45-",2857,1027
"Female","45-",3436,1235
"Female","45-",3791,1260
"Female","45-",3302,1165
"Female","45-",3104,1080
"Female","45-",3171,1127
"Female","45-",3572,1270
"Female","45-",3530,1252
"Female","45-",3175,1200
"Female","45-",3438,1290
"Female","45-",3903,1334
"Female","45-",3899,1380
"Female","45-",3401,1140
"Female","45-",3267,1243
"Female","45-",3451,1340
"Female","45-",3090,1168
"Female","45-",3413,1322
"Female","45-",3323,1249
"Female","45-",3680,1321
"Female","45-",3439,1192
"Female","45-",3853,1373
"Female","45-",3156,1170
"Female","45-",3279,1265
"Female","45-",3707,1235
"Female","45-",4006,1302
"Female","45-",3269,1241
"Female","45-",3071,1078
"Female","45-",3779,1520
"Female","45-",3548,1460
"Female","45-",3292,1075
"Female","45-",3497,1280
"Female","45-",3082,1180
"Female","45-",3248,1250
"Female","45-",3358,1190
"Female","45-",3803,1374
"Female","45-",3566,1306
"Female","45-",3145,1202
"Female","45-",3503,1240
"Female","45-",3571,1316
"Female","45-",3724,1280
"Female","45-",3615,1350
"Female","45-",3203,1180
"Female","45-",3609,1210
"Female","45-",3561,1127
"Female","45-",3979,1324
"Female","45-",3533,1210
"Female","45-",3689,1290
"Female","45-",3158,1100
"Female","45-",4005,1280
"Female","45-",3181,1175
"Female","45-",3479,1160
"Female","45-",3642,1205
"Female","45-",3632,1163
"Female","45+",3069,1022
"Female","45+",3394,1243
"Female","45+",3703,1350
"Female","45+",3165,1237
"Female","45+",3354,1204
"Female","45+",3000,1090
"Female","45+",3687,1355
"Female","45+",3556,1250
"Female","45+",2773,1076
"Female","45+",3058,1120
"Female","45+",3344,1220
"Female","45+",3493,1240
"Female","45+",3297,1220
"Female","45+",3360,1095
"Female","45+",3228,1235
"Female","45+",3277,1105
"Female","45+",3851,1405
"Female","45+",3067,1150
"Female","45+",3692,1305
"Female","45+",3402,1220
"Female","45+",3995,1296
"Female","45+",3318,1175
"Female","45+",2720,955
"Female","45+",2937,1070
"Female","45+",3580,1320
"Female","45+",2939,1060
"Female","45+",2989,1130
"Female","45+",3586,1250
"Female","45+",3156,1225
"Female","45+",3246,1180
"Female","45+",3170,1178
"Female","45+",3268,1142
"Female","45+",3389,1130
"Female","45+",3381,1185
"Female","45+",2864,1012
"Female","45+",3740,1280
"Female","45+",3479,1103
"Female","45+",3647,1408
"Female","45+",3716,1300
"Female","45+",3284,1246
"Female","45+",4204,1380
"Female","45+",3735,1350
"Female","45+",3218,1060
"Female","45+",3685,1350
"Female","45+",3704,1220
"Female","45+",3214,1110
"Female","45+",3394,1215
"Female","45+",3233,1104
"Female","45+",3352,1170
"Female","45+",3391,1120
