"Distance","IQ"
""Far"",70
""Far"",85
""Far"",86
""Far"",76
""Far"",96
""Far"",94
""Far"",115
""Far"",97
""Far"",128
""Far"",99
""Far"",118
""Far"",141
""Far"",80
""Far"",101
""Far"",125
""Far"",96
""Far"",99
""Far"",96
""Far"",50
""Far"",99
""Far"",88
""Far"",120
""Far"",93
""Far"",78
""Far"",100
""Far"",105
""Far"",87
""Far"",94
""Far"",85
""Far"",94
""Far"",107
""Far"",72
""Far"",97
""Far"",101
""Far"",89
""Far"",104
""Far"",72
""Far"",90
""Far"",92
""Far"",86
""Far"",79
""Far"",83
""Far"",100
""Far"",93
""Far"",91
""Far"",98
""Far"",46
""Far"",85
""Far"",107
""Far"",104
""Far"",86
""Far"",89
""Far"",76
""Far"",96
""Far"",101
""Far"",108
""Far"",102
""Far"",92
""Far"",76
""Far"",80
""Far"",79
""Far"",75
""Far"",82
""Far"",97
""Far"",92
""Far"",77
""Far"",111
""Near"",84
""Near"",56
""Near"",77
""Near"",80
""Near"",86
""Near"",88
""Near"",96
""Near"",96
""Near"",107
""Near"",86
""Near"",107
""Near"",91
""Near"",99
""Near"",115
""Near"",106
""Near"",105
""Near"",85
""Near"",87
""Near"",98
""Near"",89
""Near"",80
""Near"",111
""Near"",104
""Near"",75
""Near"",73
""Near"",76
""Near"",88
""Near"",89
""Near"",96
""Near"",76
""Near"",82
""Near"",93
""Near"",85
""Near"",75
""Near"",85
""Near"",80
""Near"",80
""Near"",94
""Near"",88
""Near"",104
""Near"",88
""Near"",88
""Near"",112
""Near"",83
""Near"",101
""Near"",92
""Near"",71
""Near"",114
""Near"",91
""Near"",85
""Near"",76
""Near"",95
""Near"",77
""Near"",74
""Near"",96
""Near"",91
""Near"",78
