Case,Location,Year,Type,Age,Race,Gender,Fatalities,Injured,Victims,Place,Legally,Mental,Sources
Dayton entertainment district shooting,"Dayton, OH",2019,Mass,24,white,male,9,27,36,Other,yes,unclear/unknown/tbd,https://www.nytimes.com/2019/08/04/us/dayton-ohio-shooting.html; https://www.nytimes.com/2019/08/04/us/mass-shootings-dayton-el-paso.html; https://www.washingtonpost.com/nation/2019/08/04/nine-fatally-shot-dayton-including-suspect-day-after-mass-shooting-texas/; https://www.washingtonpost.com/national/police-chief-it-seems-to-defy-believability-that-dayton-shooter-would-kill-his-own-sister/2019/08/05/920a895c-b79e-11e9-b3b4-2bb69e8c4e39_story.html; https://www.cnn.com/2019/08/05/us/connor-betts-dayton-shooting-profile/index.html
El Paso Walmart mass shooting,"El Paso, TX",2019,Mass,21,white,male,22,26,48,Workplace,yes,unclear/unknown/tbd,https://www.washingtonpost.com/nation/2019/08/04/investigators-search-answers-after-gunman-kills-el-paso/; https://www.nytimes.com/2019/08/04/us/mass-shootings-dayton-el-paso.html; https://www.apnews.com/5fb2144947974631912d1efa889f932b
Virginia Beach municipal building shooting,"Virginia Beach, VA",2019,Mass,40,black,male,12,4,16,Workplace,yes,unclear/unknown/tbd,https://www.washingtonpost.com/local/public-safety/virginia-beach-officials-expect-to-release-additional-details-of-mass-shooting/2019/06/02/a001b856-852f-11e9-a870-b9c411dc4312_story.html; https://pilotonline.com/news/local/virginia-beach-mass-shooting/article_e15ea290-853f-11e9-aa50-93751bba3c3b.html; https://pilotonline.com/news/local/virginia-beach-mass-shooting/article_c8353020-84a1-11e9-aa12-d3bf967368c4.html; https://www.reuters.com/article/us-virginia-shooting-guns/virginia-beach-shooter-bought-guns-he-used-legally-federal-agent-idUSKCN1T23EZ; https://www.usatoday.com/story/news/nation/2019/06/02/virginia-beach-shooter-dewayne-craddock-puzzles-law-enforcement/1319550001/
Harry Pratt Co. warehouse shooting,"Aurora, IL",2019,Mass,45,black,male,5,6,11,Workplace,no,yes,https://www.washingtonpost.com/nation/2019/02/16/man-kills-five-warehouse-shooting-spree-shortly-after-being-fired-illinois-police-say/?utm_term=.9863ec4ffc41; https://www.cnn.com/2019/02/17/us/aurora-shooting-termination/index.html; https://www.wsj.com/articles/companies-roll-out-gunshot-detectors-at-the-office-11550575801; https://www.cbsnews.com/news/gary-martin-aurora-illinois-plant-gunman-threatened-violence-if-fired-prosecutors-say/
SunTrust bank shooting,"Sebring, FL",2019,Mass,21,white,male,5,0,5,Workplace,yes,yes,https://wsbt.com/news/local/classmate-says-florida-bank-shooter-who-allegedly-killed-5-attended-bremen-high-school; https://www.washingtonpost.com/nation/2019/01/23/several-people-shot-after-gunman-barricades-himself-florida-bank-authorities-say/; https://www.wptv.com/news/state/accused-bank-shooter-zephen-xaver-fascinated-with-violence-ex-girlfriend-says; https://www.npr.org/2019/01/24/688183605/man-charged-with-murder-after-allegedly-killing-5-women-at-suntrust-bank-in-flor; https://www.wesh.com/article/sebring-bank-shooting-latest/26012533; https://www.apnews.com/c3523d282b2942739240731daaf797c2
Thousand Oaks nightclub shooting,"Thousand Oaks, CA",2018,Mass,28,other/unknown,male,12,22,34,Other,yes,yes,http://www.latimes.com/local/lanow/la-me-ln-thousand-oaks-20181107-story.html; https://www.washingtonpost.com/nation/2018/11/08/multiple-injuries-reported-bar-shooting-thousand-oaks-calif/; https://www.nytimes.com/2018/11/08/us/shooting-california-thousand-oaks.html; https://www.nytimes.com/2018/11/08/us/ian-david-long-california-shooter.html; https://www.wsj.com/articles/multiple-injuries-reported-in-bar-shooting-in-thousand-oaks-california-1541666907
Tree of Life synagogue shooting,"Pittsburgh, PA",2018,Mass,46,white,male,11,6,17,Religious,yes,unclear/unknown/tbd,https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html; https://www.cnn.com/us/live-news/pittsburgh-synagogue-shooting/h_0c180f52c8d032fd47eef570cc5065c2; https://www.nytimes.com/2018/10/30/us/ar15-gun-pittsburgh-shooting.html
T&T Trucking shooting,"Bakersfield, CA",2018,Spree,54,latino,male,5,0,5,Workplace,yes,unclear/unknown/tbd,http://www.latimes.com/local/lanow/la-me-bakersfield-mass-shooting-20180914-story.html; https://www.cnn.com/2018/09/13/us/california-shootings-multiple-dead/index.html; https://www.bakersfield.com/ex-wife-in-mass-shooting-had-just-filed-for-child/article_8d7510c2-bc38-11e8-bc73-c3793e2ec681.html
Capital Gazette shooting,"Annapolis, MD",2018,Mass,38,white,male,5,2,7,Workplace,yes,unclear/unknown/tbd,http://www.capitalgazette.com/news/annapolis/bs-md-gazette-shooting-20180628-story.html; http://www.capitalgazette.com/news/for_the_record/bs-md-ramos-charges-20180629-story.html; https://www.nytimes.com/2018/06/28/us/capital-gazette-annapolis-shooting.html; https://www.washingtonpost.com/local/public-safety/heavy-police-activity-reported-around-capital-gazette-newsroom-in-annapolis/2018/06/28/32e0123e-7b05-11e8-93cc-6d3beccdd7a3_story.html?utm_term=.e8fb121510f7; https://www.washingtonpost.com/local/public-safety/five-dead-in-shooting-at-capital-gazette-paper-suspect-in-custody/2018/06/29/374b0292-7b7e-11e8-aeee-4d04c8ac6158_story.html
Santa Fe High School shooting,"Santa Fe, TX",2018,Mass,17,white,male,10,13,23,School,unknown/tbd,unclear/unknown/tbd,https://www.chron.com/news/houston-texas/article/Shots-fired-at-Santa-Fe-High-School-12925050.php; https://www.nytimes.com/2018/05/18/us/school-shooting-santa-fe-texas.html; https://www.aol.com/article/news/2018/05/21/suspected-texas-gunman-studied-previous-mass-shootings-report/23439884/
