County,LifeExpectancy,AgeAdjustedDeathRate,PercentExcessDrinking,PercentInactive,PercentSmokers,WaterViolation,AirPPM,PercentDiabetes,PercentFoodDesert,PercentLongCommute,PercentInsufficientSleep,PercentUninsured,HighSchoolGradRate,HouseholdIncome,JuvenileArrestRate,BroadbandAccess,PercentUnder18,PercentOver65,PercentWhite,PercentRural,
Adams,73.6,559,16,38,30,No,8.7,17,4,48,44,11,86,43145,16,64,23.8,18.5,96.2,89.0,0
Allen,76.9,407,17,27,24,No,8.0,13,5,20,42,8,82,58271,22,81,23.0,18.1,80.6,25.9,1
Ashland,77.9,368,18,31,24,No,8.9,13,1,31,39,10,88,52554,38,79,22.3,19.1,95.5,61.9,0
Ashtabula,75.2,480,18,31,28,Yes,9.1,14,10,34,43,11,85,47388,34,75,22.0,19.6,89.3,46.4,1
Athens,78.0,379,18,23,24,Yes,6.5,12,14,22,41,10,87,43621,23,76,14.4,13.6,89.7,43.2,0
Auglaize,79.5,301,20,30,23,No,9.5,11,2,20,38,7,86,64227,31,85,24.0,18.9,95.7,39.1,1
Belmont,76.6,421,19,31,24,Yes,8.3,15,5,31,40,8,90,50166,43,74,18.8,21.4,92.4,54.7,1
Brown,74.7,497,18,31,25,No,9.1,12,4,58,40,9,86,58441,32,75,22.9,18.3,96.2,76.6,1
Butler,76.7,419,19,23,21,No,11.6,12,7,37,37,8,87,68611,30,87,23.3,15.1,79.8,9.3,1
Carroll,76.7,406,17,33,25,No,9.5,15,2,43,42,10,91,56999,17,74,20.9,21.6,96.2,71.0,1
Champaign,77.2,405,19,35,24,No,9.1,12,1,39,39,8,87,62077,78,84,22.3,18.5,93.2,70.8,0
Clark,74.2,535,17,30,26,No,8.4,14,11,28,43,10,76,50832,56,83,22.3,19.7,83.9,23.6,1
Clermont,77.9,380,19,29,22,No,9.7,13,9,48,37,8,92,68724,23,86,22.7,16.9,93.2,22.7,1
Clinton,75.2,491,18,28,24,No,9.1,10,9,39,41,8,90,52870,81,81,22.8,17.6,93.3,54.6,0
Columbiana,76.4,425,17,30,27,No,10.0,17,8,36,39,10,86,52693,19,78,20.2,21.2,93.7,43.9,1
Coshocton,76.5,411,17,32,27,No,8.8,12,7,32,40,11,89,49679,14,70,23.9,19.8,95.6,61.5,0
Crawford,75.2,494,18,31,25,No,8.8,12,10,27,42,8,93,49484,45,78,21.6,21.4,95.0,35.3,1
Cuyahoga,77.0,417,20,25,21,Yes,10.7,11,4,32,45,9,80,52503,41,79,20.6,18.6,58.6,0.6,1
Darke,76.4,412,19,31,24,No,9.5,14,2,31,40,10,92,56824,40,79,23.6,19.9,95.8,66.3,0
Defiance,77.5,381,19,33,23,Yes,9.3,13,4,24,40,8,91,60918,56,80,22.7,19.2,86.0,43.9,0
Delaware,82.3,209,19,18,15,No,9.0,9,3,43,36,5,95,110252,17,93,25.9,14.1,83.8,19.3,1
Erie,76.8,415,18,29,22,No,9.0,13,9,21,40,7,67,60790,94,81,20.2,22.6,83.0,26.5,0
Fairfield,78.0,342,17,26,21,No,9.0,13,5,49,40,7,93,71782,24,85,23.9,16.1,84.9,34.7,1
Fayette,73.1,565,17,35,27,No,8.8,14,1,36,42,9,83,51023,85,76,23.4,18.3,92.2,47.8,0
Franklin,77.2,394,18,22,19,No,8.7,10,7,26,41,11,69,64648,37,87,23.2,12.4,62.1,1.4,1
Fulton,77.6,363,19,27,22,Yes,9.3,9,5,33,39,8,93,64334,39,82,23.4,18.4,88.8,56.2,1
Gallia,73.3,581,17,33,27,No,8.9,18,5,39,42,11,85,48094,34,68,22.8,19.3,93.1,81.4,0
Geauga,81.5,247,19,17,19,Yes,9.7,10,3,45,37,9,95,79865,17,81,22.5,21.1,95.4,64.0,1
Greene,78.9,331,18,22,19,No,7.9,13,8,24,38,7,87,69709,32,87,20.6,17.5,83.7,14.9,1
Guernsey,75.1,488,16,32,27,Yes,8.7,13,6,27,42,10,82,48283,47,73,22.0,20.1,94.6,61.4,0
Hamilton,76.6,419,20,23,20,No,10.2,12,9,31,37,8,82,60251,50,84,22.9,15.7,64.8,2.2,1
Hancock,77.6,375,19,27,20,Yes,9.0,11,6,17,39,8,91,62720,23,85,22.1,17.7,88.6,31.1,0
Hardin,76.9,421,17,37,25,No,9.0,16,4,37,41,9,90,51155,28,77,23.2,16.3,94.6,55.4,0
Harrison,76.6,413,17,28,27,No,9.1,14,1,49,42,9,93,50137,14,72,20.7,21.8,94.8,84.1,0
Henry,78.1,352,19,27,22,Yes,9.3,12,4,29,39,7,88,61351,37,84,23.1,19.1,89.9,69.1,0
Highland,75.8,460,17,30,27,No,8.9,14,2,44,41,11,92,47126,41,71,23.6,18.9,94.9,73.0,0
Hocking,75.6,470,18,35,26,No,8.4,15,8,44,42,9,86,51016,45,77,21.7,19.5,96.1,70.8,0
Holmes,80.2,299,17,23,29,No,9.2,7,1,21,41,24,84,62596,12,56,30.7,14.0,97.7,93.0,0
Huron,76.2,424,18,26,26,No,8.9,11,4,30,40,10,94,56704,40,80,24.0,17.6,89.9,50.3,0
Jackson,72.6,608,16,35,27,No,8.7,19,2,35,43,10,89,50671,32,75,23.9,17.6,95.8,64.6,0
