Ozone,Solar,Wind,Temp,Day
41,190,7.4,67,121
36,118,8,72,122
12,149,12.6,74,123
18,313,11.5,62,124
23,299,8.6,65,127
19,99,13.8,59,128
8,19,20.1,61,129
16,256,9.7,69,132
11,290,9.2,66,133
14,274,10.9,68,134
18,65,13.2,58,135
14,334,11.5,64,136
34,307,12,66,137
6,78,18.4,57,138
30,322,11.5,68,139
11,44,9.7,62,140
1,8,9.7,59,141
11,320,16.6,73,142
4,25,9.7,61,143
32,92,12,61,144
23,13,12,67,148
45,252,14.9,81,149
115,223,5.7,79,150
37,279,7.4,76,151
29,127,9.7,82,158
71,291,13.8,90,160
39,323,11.5,87,161
23,148,8,82,164
21,191,14.9,77,167
37,284,20.7,72,168
20,37,9.2,65,169
12,120,11.5,73,170
13,137,10.3,76,171
135,269,4.1,84,182
49,248,9.2,85,183
32,236,9.2,81,184
64,175,4.6,83,186
40,314,10.9,83,187
77,276,5.1,88,188
97,267,6.3,92,189
97,272,5.7,92,190
85,175,7.4,89,191
10,264,14.3,73,193
27,175,14.9,81,194
7,48,14.3,80,196
48,260,6.9,81,197
35,274,10.3,82,198
61,285,6.3,84,199
79,187,5.1,87,200
63,220,11.5,85,201
16,7,6.9,74,202
80,294,8.6,86,205
108,223,8,85,206
20,81,8.6,82,207
52,82,12,86,208
82,213,7.4,88,209
50,275,7.4,86,210
64,253,7.4,83,211
59,254,9.2,81,212
39,83,6.9,81,213
9,24,13.8,81,214
16,77,7.4,82,215
122,255,4,89,219
89,229,10.3,90,220
110,207,8,90,221
44,192,11.5,86,224
28,273,11.5,82,225
65,157,9.7,80,226
22,71,10.3,77,228
59,51,6.3,79,229
23,115,7.4,76,230
31,244,10.9,78,231
44,190,10.3,78,232
21,259,15.5,77,233
9,36,14.3,72,234
45,212,9.7,79,236
168,238,3.4,81,237
73,215,8,86,238
76,203,9.7,97,240
118,225,2.3,94,241
84,237,6.3,96,242
85,188,6.3,94,243
96,167,6.9,91,244
78,197,5.1,92,245
73,183,2.8,93,246
91,189,4.6,93,247
47,95,7.4,87,248
32,92,15.5,84,249
20,252,10.9,80,250
23,220,10.3,78,251
21,230,10.9,75,252
24,259,9.7,73,253
44,236,14.9,81,254
21,259,15.5,76,255
28,238,6.3,77,256
9,24,10.9,71,257
13,112,11.5,71,258
46,237,6.9,78,259
18,224,13.8,67,260
13,27,10.3,76,261
24,238,10.3,68,262
16,201,8,82,263
13,238,12.6,64,264
23,14,9.2,71,265
36,139,10.3,81,266
7,49,10.3,69,267
14,20,16.6,63,268
30,193,6.9,70,269
14,191,14.3,75,271
18,131,8,76,272
20,223,11.5,68,273
