Drug,D
ALC,17.88519003
ALC,38.95647471
ALC,38.30641777
ALC,28.57587641
ALC,27.7008281
ALC,49.76275062
ALC,28.90859882
ALC,20.38375102
ALC,34.02606089
ALC,68.33965009
ALC,32.64110238
ALC,34.78847168
ALC,43.97712119
ALC,33.92194898
ALC,28.32076086
ALC,44.10904801
ALC,36.1004166
ALC,29.91490937
ALC,36.06103592
ALC,47.38525091
ALC,36.85056898
ALC,37.69398391
ALC,63.03186772
ALC,26.23736688
MDMA,29.14904073
MDMA,28.23566318
MDMA,27.36386562
MDMA,35.6830375
MDMA,31.11659737
MDMA,20.76762436
MDMA,56.61174513
MDMA,21.79414164
MDMA,27.53514054
MDMA,22.49865188
MDMA,24.88332703
MDMA,20.08799578
MDMA,22.55237743
MDMA,19.00892035
MDMA,28.1305356
MDMA,26.30373309
NODRUG,59.11180541
NODRUG,55.89531371
NODRUG,30.56152227
NODRUG,27.59618099
NODRUG,40.77887292
NODRUG,356.9650324
NODRUG,28.58810746
NODRUG,19.81643005
NODRUG,34.21143139
NODRUG,158.6952563
NODRUG,55.03242005
NODRUG,33.49640815
NODRUG,34.50878857
NODRUG,21.91755017
NODRUG,23.33450377
NODRUG,44.26713126
NODRUG,35.59477284
NODRUG,43.25145136
NODRUG,29.64717229
NODRUG,21.26819242
NODRUG,33.06628891
NODRUG,87.00657244
NODRUG,47.97827471
NODRUG,34.41316316
NODRUG,47.49281269
NODRUG,19.69734407
NODRUG,29.86495784
NODRUG,32.91922464
NODRUG,25.94295063
NODRUG,24.17470785
NODRUG,29.65505473
NODRUG,43.34176348
NODRUG,30.72871548
NODRUG,25.93796166
NODRUG,33.2419667
NODRUG,34.47430004
NODRUG,38.54632687
NODRUG,28.86647061
NODRUG,58.71956858
NODRUG,32.49329641
THC,25.35843694
THC,49.80591189
THC,82.0252332
THC,37.6608866
THC,23.75116422
THC,14.81769761
THC,28.92172681
THC,346.7227035
THC,27.30777788
THC,30.51632682
THC,32.07196668
THC,29.71833596
THC,48.49456335
THC,34.57385817
THC,28.17938433
THC,29.67949619
THC,27.64866451
THC,39.48102174
THC,45.96477212
THC,27.85791817
THC,31.89521523
THC,35.82687793
THC,38.52816809
THC,65.66494109
THC,32.96489913
THC,27.86238613
THC,19.53949731
THC,21.22388067
THC,30.43179238
THC,24.30069973
THC,54.32926452
THC,34.12509183
THC,18.67868981
THC,37.05515943
THC,28.68742874
THC,39.55687344
THC,42.05160765
THC,40.94437227
THC,27.38508765
