TotBill,Tip,Sex,Smoker,Day,Time,Size,TipPercent
18.29,3.76,M,Yes,Sat,Night,4,0.205576818
16.99,1.01,F,No,Sun,Night,2,0.059446733
10.34,1.66,M,No,Sun,Night,3,0.160541586
21.01,3.5,M,No,Sun,Night,3,0.166587339
23.68,3.31,M,No,Sun,Night,2,0.139780405
24.59,3.61,F,No,Sun,Night,4,0.146807645
25.29,4.71,M,No,Sun,Night,4,0.18623962
8.77,2,M,No,Sun,Night,2,0.228050171
26.88,3.12,M,No,Sun,Night,4,0.116071429
15.04,1.96,M,No,Sun,Night,2,0.130319149
14.78,3.23,M,No,Sun,Night,2,0.218538566
10.27,1.71,M,No,Sun,Night,2,0.166504382
35.26,5,F,No,Sun,Night,4,0.141803744
15.42,1.57,M,No,Sun,Night,2,0.101815824
18.43,3,M,No,Sun,Night,4,0.162778079
14.83,3.02,F,No,Sun,Night,2,0.203641268
21.58,3.92,M,No,Sun,Night,2,0.181649676
10.33,1.67,F,No,Sun,Night,3,0.161665053
16.29,3.71,M,No,Sun,Night,3,0.227747084
16.97,3.5,F,No,Sun,Night,3,0.206246317
20.65,3.35,M,No,Sat,Night,3,0.162227603
17.92,4.08,M,No,Sat,Night,2,0.227678571
20.29,2.75,F,No,Sat,Night,2,0.135534746
15.77,2.23,F,No,Sat,Night,2,0.141407736
39.42,7.58,M,No,Sat,Night,4,0.192288179
19.82,3.18,M,No,Sat,Night,2,0.160443996
17.81,2.34,M,No,Sat,Night,4,0.131386861
13.37,2,M,No,Sat,Night,2,0.149588631
12.69,2,M,No,Sat,Night,2,0.157604413
21.7,4.3,M,No,Sat,Night,2,0.198156682
19.65,3,F,No,Sat,Night,2,0.152671756
9.55,1.45,M,No,Sat,Night,2,0.151832461
18.35,2.5,M,No,Sat,Night,4,0.136239782
15.06,3,F,No,Sat,Night,2,0.199203187
20.69,2.45,F,No,Sat,Night,4,0.118414693
17.78,3.27,M,No,Sat,Night,2,0.183914511
24.06,3.6,M,No,Sat,Night,3,0.149625935
16.31,2,M,No,Sat,Night,3,0.122624157
16.93,3.07,F,No,Sat,Night,3,0.181334908
18.69,2.31,M,No,Sat,Night,3,0.123595506
31.27,5,M,No,Sat,Night,3,0.159897665
16.04,2.24,M,No,Sat,Night,3,0.139650873
17.46,2.54,M,No,Sun,Night,2,0.145475372
13.94,3.06,M,No,Sun,Night,2,0.219512195
9.68,1.32,M,No,Sun,Night,2,0.136363636
30.4,5.6,M,No,Sun,Night,4,0.184210526
18.29,3,M,No,Sun,Night,2,0.164024057
22.23,5,M,No,Sun,Night,2,0.224921278
32.4,6,M,No,Sun,Night,4,0.185185185
28.55,2.05,M,No,Sun,Night,3,0.071803853
18.04,3,M,No,Sun,Night,2,0.166297118
