Athlete_ID,Velocity,Gender,Condition,Type
1,1.57,F,Wetsuit,swimmer
2,1.47,F,Wetsuit,triathlete
3,1.42,F,Wetsuit,swimmer
4,1.35,F,Wetsuit,triathlete
5,1.22,M,Wetsuit,triathlete
6,1.75,M,Wetsuit,swimmer
7,1.64,M,Wetsuit,swimmer
8,1.57,M,Wetsuit,triathlete
9,1.56,M,Wetsuit,triathlete
10,1.53,M,Wetsuit,triathlete
11,1.49,M,Wetsuit,triathlete
12,1.51,M,Wetsuit,triathlete
1,1.49,F,Control,swimmer
2,1.37,F,Control,triathlete
3,1.35,F,Control,swimmer
4,1.27,F,Control,triathlete
5,1.12,M,Control,triathlete
6,1.64,M,Control,swimmer
7,1.59,M,Control,swimmer
8,1.52,M,Control,triathlete
9,1.5,M,Control,triathlete
10,1.45,M,Control,triathlete
11,1.44,M,Control,triathlete
12,1.41,M,Control,triathlete
