"app_ID","dept","sex","admit","gpa"
1,"D","M","Y",3.75361626807068
2,"F","M","N",3.71467979296322
3,"B","M","N",3.04045851312152
4,"F","F","N",3.7530365521092
5,"F","F","N",3.63151340924669
6,"E","F","N",3.79105733426147
7,"F","M","N",3.72209271718947
8,"F","M","N",3.63763518531518
9,"F","M","N",3.69337441481337
10,"C","F","N",3.45047978256856
11,"F","F","N",3.62405037840791
12,"F","M","N",3.69175785766307
13,"F","M","N",3.74483927984352
14,"F","M","N",3.60777519580941
15,"F","M","N",3.79522473433115
16,"A","M","Y",3.61710576356877
17,"F","F","N",3.62041836425345
18,"F","M","N",3.64852126649136
19,"F","M","N",3.66954969745151
20,"F","F","N",3.63134929053564
21,"C","F","Y",3.50990365885532
22,"F","F","N",3.50565956927002
23,"F","F","N",3.97065253838983
24,"D","M","Y",3.57117043702019
25,"C","F","N",3.49617216788945
26,"F","F","N",3.77510983342838
27,"D","F","N",3.35406278757816
28,"F","M","N",3.67916576355129
29,"C","F","N",3.4594372593527
30,"E","F","N",3.48703518051119
31,"F","M","N",3.62957076474071
32,"E","F","N",3.40636546086412
33,"F","M","N",3.60912120861685
34,"F","M","N",3.630671449378
35,"D","F","N",3.20304697542354
36,"F","M","N",3.59472069403447
37,"D","M","Y",3.71971876469246
38,"D","F","N",3.59915810136005
39,"F","M","N",3.64348679393585
40,"B","M","N",3.20021290372255
41,"F","M","N",3.6424469043767
42,"F","F","N",3.74036159508329
43,"A","M","Y",3.6418932035019
44,"F","M","Y",3.9603680132111
45,"F","F","N",3.71055924786608
46,"F","F","N",3.61896555657084
47,"D","F","Y",3.50867589235748
48,"F","M","N",3.59385570460524
49,"F","M","N",3.77422908571501
50,"B","F","Y",3.84852859071015
51,"E","M","N",3.67081971769862
52,"E","M","Y",3.77034329148518
53,"D","M","N",3.59129826574605
54,"D","M","N",3.23508730634164
55,"F","M","N",3.83643905704461
56,"F","M","N",3.60362972649446
57,"B","F","N",3.55189912994616
58,"F","F","N",3.76537923615667
59,"F","M","N",3.64205995857619
60,"A","M","N",3.5027677477
61,"B","M","Y",3.53421960817713
62,"F","M","N",3.71034061258117
63,"B","M","Y",3.83324618477412
64,"F","M","N",3.6954136529806
65,"F","F","N",3.73930619251489
66,"F","M","Y",3.94495468714711
67,"D","F","Y",3.51270167414993
68,"F","F","N",3.68458961641834
69,"F","F","N",3.7315377475347
70,"B","M","N",2.81772243457303
71,"F","F","N",3.69989786398185
72,"F","M","N",3.55062867422921
73,"F","M","N",3.86295489412005
74,"C","M","Y",3.94911820557208
75,"F","M","N",3.69814147707577
76,"F","F","N",3.59344416205808
77,"A","M","Y",3.47813933706379
78,"E","F","Y",3.81547258308688
79,"F","F","N",3.55463824930542
80,"A","M","N",3.42502206852615
81,"F","M","N",3.7386765929335
82,"F","M","N",3.67072573648783
83,"B","M","N",3.15238969616996
84,"E","M","N",3.56963455749012
85,"F","M","N",3.63436089931732
86,"F","F","N",3.64750117424768
87,"F","M","N",3.7338869717216
88,"F","F","N",3.7956002250714
89,"E","M","Y",3.79597069769932
90,"E","M","N",3.58859925227394
91,"F","M","N",3.73605583379029
92,"A","M","N",3.28840355025424
93,"C","F","Y",3.53136909394442
94,"E","M","Y",3.64880283280192
95,"F","M","N",3.64834690361166
96,"D","M","N",3.07219094036278
97,"F","F","Y",3.69848486887485
98,"F","M","N",3.7336589057384
99,"F","F","N",3.63537889909763
100,"F","M","N",3.56817225454301
101,"F","M","N",3.82972930496127
102,"F","F","N",3.70162227891848
103,"A","M","Y",3.40930056530745
104,"F","M","N",3.7271052540751
105,"F","M","N",3.65579771132411
106,"D","F","Y",3.64819318371688
107,"F","M","N",3.79046645286305
108,"F","F","N",3.70212917351199
109,"F","F","N",3.76625671578314
110,"A","M","N",3.06849782777715
111,"F","F","N",3.65114333918802
112,"C","F","Y",3.61491330273291
113,"F","M","N",3.57909690904851
114,"C","F","Y",3.53028833199289
115,"E","F","Y",3.77911918271114
116,"E","M","N",3.74916775614776
117,"E","F","Y",3.81061521161432
118,"F","F","N",3.69471231420747
119,"D","M","Y",3.72029364946131
120,"F","F","N",3.70045326686603
121,"F","F","Y",3.8380004166258
122,"F","F","N",3.74592244925984
123,"F","M","N",3.63905469737863
124,"F","F","N",3.72322875745576
125,"F","M","N",3.65247650734464
126,"F","F","N",3.7522071766973
127,"B","M","Y",3.55610278128729
128,"C","F","N",3.65075091214856
129,"F","M","N",3.66607353653922
130,"F","M","N",3.69398863116757
131,"F","M","N",3.76382820853388
132,"F","F","N",3.78676493750092
133,"A","M","N",3.17721707396408
134,"F","F","N",3.61729391658292
135,"F","M","N",3.71513606750883
136,"F","M","N",3.6459869319443
137,"D","F","N",3.24364804285289
138,"E","F","N",3.44174713092066
139,"E","F","N",3.45084795314367
140,"C","M","Y",3.70309500569111
141,"F","M","N",3.6073068393405
142,"F","M","N",3.78216725970156
143,"F","M","N",3.67988495797504
144,"F","M","N",3.713405794601
145,"F","M","Y",3.73643216931337
146,"F","F","N",3.62922169498673
147,"F","F","N",3.69515929819727
148,"C","F","Y",3.68505589386818
149,"E","F","N",3.32491650363221
150,"A","M","Y",3.62117749116808
151,"F","M","N",3.72861583234013
152,"D","M","Y",3.58476236963532
153,"C","F","Y",3.79472716254367
154,"F","F","N",3.6222599881176
155,"D","F","N",3.43873966694398
156,"D","F","N",3.25185837913111
157,"E","M","N",3.3306907238294
158,"E","F","N",3.51633207524619
159,"C","F","N",3.14999826932754
160,"E","F","N",3.35155620568236
161,"F","M","N",3.84157433918768
162,"F","F","N",3.75769882054927
163,"F","F","N",3.6597798688058
164,"F","M","N",3.71489554429522
165,"F","M","N",3.55443043377931
166,"F","M","N",3.81696488104297
167,"F","M","N",3.74971176918778
168,"F","M","N",3.76158036945757
169,"A","M","Y",3.13640880645925
170,"F","M","N",3.71530333242382
171,"F","F","N",3.70226134021121
172,"D","M","N",3.1787011394106
173,"F","M","N",3.63484189561823
174,"F","F","N",3.71296511148214
175,"F","F","N",3.6796623040399
176,"E","F","Y",3.71500067361608
177,"F","F","N",3.57488601632482
178,"C","F","N",3.39607659098631
179,"A","M","N",3.28357781128174
180,"F","M","N",3.71712603931523
181,"A","M","N",3.25289916885951
