"","Warm-blooded?","Can_fly?","Vertebrate?","Endangered?","Lives_in_groups?","Has_hair?"
"ant","No","No","No","No","Yes","No"
"bee","No","Yes","No","No","Yes","Yes"
"cat","Yes","No","Yes","No","No","Yes"
"cpl","No","No","No","No","No","Yes"
"chi","Yes","No","Yes","Yes","Yes","Yes"
"cow","Yes","No","Yes","No","Yes","Yes"
"duc","Yes","Yes","Yes","No","Yes","No"
"eag","Yes","Yes","Yes","Yes","No","No"
"ele","Yes","No","Yes","Yes","Yes","No"
"fly","No","Yes","No","No","No","No"
"fro","No","No","Yes","Yes",NA,"No"
"her","No","No","Yes","No","Yes","No"
"lio","Yes","No","Yes",NA,"Yes","Yes"
"liz","No","No","Yes","No","No","No"
"lob","No","No","No","No",NA,"No"
"man","Yes","No","Yes","Yes","Yes","Yes"
"rab","Yes","No","Yes","No","Yes","Yes"
"sal","No","No","Yes","No",NA,"No"
"spi","No","No","No",NA,"No","Yes"
"wha","Yes","No","Yes","Yes","Yes","No"
