Player,Date,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jason Carter,11/25/2020,23,3,5,0.6,3,3,1,0,2,0,0,0,,2,4,6,1,2,1,0,1,6
Jason Carter,11/26/2020,27,1,3,0.333,1,2,0.5,0,1,0,0,0,,5,6,11,0,1,1,1,2,2
Jason Carter,11/27/2020,30,2,7,0.286,1,3,0.333,1,4,0.25,0,0,,4,9,13,0,3,1,0,2,5
Jason Carter,11/30/2020,38,6,12,0.5,5,10,0.5,1,2,0.5,7,8,0.875,1,10,11,4,1,0,3,3,20
Jason Carter,12/2/2020,24,3,7,0.429,3,6,0.5,0,1,0,2,2,1,4,8,12,2,1,1,1,1,8
Jason Carter,12/6/2020,32,2,5,0.4,1,2,0.5,1,3,0.333,1,2,0.5,0,2,2,2,0,1,0,2,6
Jason Carter,12/9/2020,22,1,3,0.333,0,0,,1,3,0.333,0,0,,1,3,4,2,1,0,0,1,3
Jason Carter,12/20/2020,25,2,4,0.5,1,2,0.5,1,2,0.5,2,6,0.333,3,1,4,4,0,0,0,3,7
Jason Carter,12/23/2020,32,3,10,0.3,3,5,0.6,0,5,0,0,0,,0,4,4,2,0,1,3,3,6
Jason Carter,12/30/2020,20,5,9,0.556,4,4,1,1,5,0.2,1,2,0.5,3,4,7,0,0,1,1,3,12
Jason Carter,1/6/2021,36,3,7,0.429,3,6,0.5,0,1,0,5,10,0.5,3,13,16,1,1,1,4,3,11
Jason Carter,1/10/2021,25,2,6,0.333,2,4,0.5,0,2,0,0,0,,4,2,6,2,1,1,0,2,4
Jason Carter,1/30/2021,30,1,2,0.5,1,1,1,0,1,0,0,3,0,1,4,5,2,0,1,2,1,2
Jason Carter,2/13/2021,22,0,5,0,0,4,0,0,1,0,0,0,,1,1,2,0,0,0,1,0,0
Jason Carter,2/16/2021,24,1,3,0.333,1,1,1,0,2,0,1,2,0.5,1,1,2,2,0,1,0,2,3
Jason Carter,2/21/2021,29,4,7,0.571,4,5,0.8,0,2,0,2,2,1,2,1,3,2,1,0,2,4,10
Jason Carter,2/24/2021,33,1,4,0.25,1,3,0.333,0,1,0,0,1,0,0,2,2,2,1,0,0,1,2
Jason Carter,2/27/2021,22,0,2,0,0,1,0,0,1,0,0,0,,1,4,5,1,0,3,0,1,0
Jason Carter,3/2/2021,20,0,2,0,0,0,,0,2,0,0,0,,2,2,4,1,0,0,0,1,0
