Chamber,State,District,Name,Age,Birthdate,Party
House,CA,CA-31,Grace F. Napolitano,86,12/4/1936,D
House,DC,DC-AL,Eleanor Holmes Norton,85,6/13/1937,D
House,KY,KY-05,Harold Rogers,85,12/31/1937,R
House,NJ,NJ-09,Bill Pascrell Jr.,85,1/25/1937,D
House,CA,CA-43,Maxine Waters,84,8/15/1938,D
House,MD,MD-05,Steny H. Hoyer,83,6/14/1939,D
House,SC,SC-06,James E. Clyburn,82,7/21/1940,D
House,CA,CA-11,Nancy Pelosi,82,3/26/1940,D
House,IL,IL-07,Danny K. Davis,81,9/6/1941,D
House,TX,TX-31,John Carter,81,11/6/1941,R
House,CA,CA-16,Anna G. Eshoo,80,12/13/1942,D
House,FL,FL-24,Frederica S. Wilson,80,11/5/1942,D
House,CT,CT-03,Rosa DeLauro,79,3/2/1943,D
House,NC,NC-05,Virginia Foxx,79,6/29/1943,R
House,TX,TX-12,Kay Granger,79,1/18/1943,R
House,CA,CA-07,Doris Matsui,78,9/25/1944,D
House,IL,IL-09,Jan Schakowsky,78,5/26/1944,D
House,MO,MO-05,Emanuel Cleaver II,78,10/26/1944,D
House,GA,GA-13,David Scott,77,6/27/1945,D
House,IN,IN-04,Jim Baird,77,6/4/1945,R
House,NJ,NJ-12,Bonnie Watson Coleman,77,2/6/1945,D
House,CA,CA-08,John Garamendi,77,1/24/1945,D
House,OH,OH-09,Marcy Kaptur,76,6/17/1946,D
House,TX,TX-37,Lloyd Doggett,76,10/6/1946,D
House,CA,CA-12,Barbara Lee,76,7/16/1946,D
House,NC,NC-12,Alma Adams,76,5/27/1946,D
House,MD,MD-02,C.A. Dutch Ruppersberger,76,1/31/1946,D
House,TX,TX-09,Al Green,75,9/1/1947,D
House,VA,VA-03,Robert C. Scott,75,4/30/1947,D
House,GA,GA-02,Sanford D. Bishop Jr.,75,2/4/1947,D
House,NY,NY-12,Jerrold Nadler,75,6/13/1947,D
House,CA,CA-18,Zoe Lofgren,75,12/21/1947,D
House,FL,FL-08,Bill Posey,75,12/18/1947,R
House,AS,AS-AL,Aumua Amata Coleman Radewagen,75,12/29/1947,R
House,SC,SC-02,Joe Wilson,75,7/31/1947,R
House,MI,MI-01,Jack Bergman,75,2/2/1947,R
House,FL,FL-22,Lois Frankel,74,5/16/1948,D
House,MS,MS-02,Bennie Thompson,74,1/28/1948,D
House,OR,OR-03,Earl Blumenauer,74,8/16/1948,D
House,CT,CT-01,John B. Larson,74,7/22/1948,D
House,AZ,AZ-07,Raul M. Grijalva,74,2/19/1948,D
House,PA,PA-16,Mike Kelly,74,5/10/1948,R
House,TX,TX-36,Brian Babin,74,3/23/1948,R
House,MD,MD-07,Kweisi Mfume,74,10/24/1948,D
House,NY,NY-20,Paul Tonko,73,6/18/1949,D
House,TN,TN-09,Steve Cohen,73,5/24/1949,D
House,OK,OK-04,Tom Cole,73,4/28/1949,R
House,TX,TX-25,Roger Williams,73,9/13/1949,R
House,MA,MA-01,Richard E. Neal,73,2/14/1949,D
House,FL,FL-11,Daniel Webster,73,4/27/1949,R
