Name,State,Current_Chamber,Age_at_Entry,First_Year
Mark Alford,MO,House,60,2023
Spencer Abraham,MI,Senate,43,1995
Marsha Blackburn,TN,Senate,51,2003
Brock Adams,WA,Senate,60,1987
Richard Blumenthal,CT,Senate,65,2011
Bella Abzug,NY,House,51,1971
Robert Aderholt,AL,House,32,1997
Lamar Alexander,TN,Senate,63,2003
Jim Banks,IN,House,38,2017
George Allen,VA,Senate,49,2001
Clifford Allen,TN,House,63,1975
Joseph Addabbo,NY,House,36,1961
Lisa Blunt Rochester,DE,House,55,2017
Wayne Allard,CO,Senate,54,1997
Alma Adams,NC,House,68,2014
Rick Allen,GA,House,64,2015
Tammy Baldwin,WI,Senate,51,2013
Gary Ackerman,NY,House,41,1983
Rodney Alexander,LA,House,57,2003
Sandy Adams,FL,House,55,2011
Pete Aguilar,CA,House,36,2015
John Adler,NJ,House,50,2009
Neil Abercrombie,HI,House,47,1987
Ralph Abraham,LA,House,61,2015
Michael Bennet,CO,Senate,45,2009
James Allen,AL,Senate,57,1969
Maryon Allen,AL,Senate,52,1978
Cory Booker,NJ,Senate,44,2013
Anibal Acevedo-Vila,PR,House,39,2001
John Barrasso,WY,Senate,55,2007
