Analyze,Reduced,Ignore,Discard,DaqPath,DaqName,Date
,X,,,Control\C_001_POST,1_RuralRedLight_20180905113244.daq,9/5/2018 23:01
,X,,,Control\C_002__PRE,3_RuralRedLight_20180912092144.daq,9/12/2018 23:11
,X,,,Control\C_003__PRE,2_RuralRedLight_20180914094223.daq,9/14/2018 23:12
,X,,,Occasional\O_001__PRE,1_RuralRedLight_20180917093224.daq,9/17/2018 23:10
,X,,,Control\C_004_POST,3_RuralRedLight_20180928135832.daq,9/28/2018 23:04
,X,,,Frequent\F_001__PRE,4_RuralRedLight_20181003103829.daq,10/3/2018 23:11
,X,,,Frequent\F_002__PRE,4_RuralRedLight_20181004113002.daq,10/4/2018 23:15
,X,,,Control\C_005_POST,3_RuralRedLight_20181008121530.daq,10/8/2018 23:06
,X,,,Frequent\F_003__PRE,4_RuralRedLight_20181010123857.daq,10/10/2018 23:13
,X,,,Occasional\O_002__PRE,1_RuralRedLight_20181015103610.daq,10/15/2018 23:09
,,X,,Occasional\O_002__PRE,1_RuralRedLight_20181015103610.daq,10/15/2018 23:09
,,X,,Occasional\O_002__PRE,1_RuralRedLight_20181015103610.daq,10/15/2018 23:09
,X,,,Control\C_006__PRE,2_RuralRedLight_20181026095827.daq,10/26/2018 15:14
,,X,,Control\C_006__PRE,2_RuralRedLight_20181026095827.daq,10/26/2018 15:14
,,X,,Control\C_006__PRE,2_RuralRedLight_20181026095827.daq,10/26/2018 15:14
,X,,,Frequent\F_004_POST,1_RuralRedLight_20181018142304.daq,10/26/2018 15:18
,,X,,Frequent\F_004_POST,1_RuralRedLight_20181018142304.daq,10/26/2018 15:18
,,X,,Frequent\F_004_POST,1_RuralRedLight_20181018142304.daq,10/26/2018 15:18
,,X,,Frequent\F_005__PRE,4_RuralRedLight_20181019081206.daq,10/26/2018 15:36
,X,,,Frequent\F_005__PRE,4_RuralRedLight_20181019081206.daq,10/26/2018 15:36
,,X,,Frequent\F_005__PRE,4_RuralRedLight_20181019081206.daq,10/26/2018 15:36
,X,,,Occasional\O_003__PRE,3_RuralRedLight_20181025124235.daq,10/26/2018 15:44
