"Subject","Drive","EventNum","LaneDeparts_Left","LaneDeparts_Right"
1,"RT1",304,1,1
1,"RT1",308,0,0
1,"RT1",311,0,0
1,"RT2",304,1,0
1,"RT2",308,0,0
1,"RT2",311,2,1
1,"RT3",304,0,0
1,"RT3",311,4,0
1,"RT4",304,0,0
1,"RT4",308,0,0
1,"RT4",311,0,0
2,"RT1",304,0,1
2,"RT1",311,0,0
2,"RT2",304,0,2
2,"RT2",308,0,0
2,"RT2",311,0,0
2,"RT3",304,1,1
2,"RT3",308,0,0
2,"RT3",311,0,0
2,"RT4",304,0,5
2,"RT4",311,0,0
3,"RT1",304,1,0
3,"RT1",311,0,0
3,"RT2",304,1,3
3,"RT2",311,2,0
3,"RT3",304,0,1
3,"RT3",308,0,0
3,"RT3",311,0,0
3,"RT4",304,0,0
3,"RT4",311,0,0
5,"RT1",304,0,1
5,"RT1",311,0,0
5,"RT2",304,0,0
5,"RT2",308,0,0
5,"RT2",311,0,0
5,"RT3",304,0,1
5,"RT3",308,0,0
5,"RT3",311,0,0
5,"RT4",304,0,2
5,"RT4",311,0,0
6,"RT1",304,1,4
6,"RT1",308,NA,NA
6,"RT1",311,0,0
6,"RT2",304,0,1
6,"RT2",311,0,0
6,"RT3",304,0,0
6,"RT3",308,0,0
6,"RT3",311,0,0
6,"RT4",304,0,3
6,"RT4",308,0,0
6,"RT4",311,0,0
9,"RT1",304,0,6
9,"RT1",311,NA,NA
9,"RT2",304,0,4
9,"RT2",308,0,0
9,"RT2",311,2,1
9,"RT3",304,1,2
9,"RT3",308,NA,NA
9,"RT3",311,NA,NA
9,"RT4",304,2,2
9,"RT4",311,0,0
10,"RT1",304,1,8
10,"RT1",308,0,0
10,"RT1",311,0,1
10,"RT2",304,0,7
10,"RT2",311,0,2
10,"RT3",304,1,9
10,"RT3",308,0,0
10,"RT3",311,0,0
10,"RT4",304,0,11
10,"RT4",308,0,0
10,"RT4",311,0,0
11,"RT1",304,0,1
11,"RT1",308,0,0
11,"RT1",311,0,0
11,"RT2",304,0,2
11,"RT2",308,0,0
11,"RT2",311,0,4
11,"RT3",304,0,1
11,"RT3",311,0,3
11,"RT4",304,0,1
11,"RT4",308,0,0
11,"RT4",311,0,0
13,"RT1",304,0,2
13,"RT1",308,NA,NA
13,"RT1",311,0,0
13,"RT2",304,0,0
13,"RT2",311,0,0
13,"RT3",304,0,0
13,"RT3",308,0,0
13,"RT3",311,0,0
13,"RT4",304,0,0
13,"RT4",308,NA,NA
13,"RT4",311,NA,NA
14,"RT1",304,0,3
14,"RT1",311,0,0
14,"RT2",304,2,0
14,"RT2",308,0,0
14,"RT2",311,2,0
14,"RT3",304,0,2
14,"RT3",308,0,0
14,"RT3",311,0,0
14,"RT4",304,0,2
14,"RT4",311,0,0
15,"RT1",304,0,1
15,"RT1",308,0,0
15,"RT1",311,1,1
15,"RT2",304,0,3
15,"RT2",308,0,0
15,"RT2",311,0,1
15,"RT3",304,0,4
15,"RT3",311,1,0
15,"RT4",304,0,5
15,"RT4",308,NA,NA
15,"RT4",311,NA,NA
16,"RT1",304,0,4
16,"RT1",311,0,1
16,"RT2",304,1,3
16,"RT2",308,0,0
16,"RT2",311,0,0
16,"RT3",304,3,4
16,"RT3",308,0,0
16,"RT3",311,0,0
16,"RT4",304,1,4
16,"RT4",311,2,0
17,"RT1",304,0,3
17,"RT1",311,0,1
17,"RT2",304,0,3
17,"RT2",308,0,0
17,"RT2",311,0,0
17,"RT3",304,0,2
17,"RT3",308,0,0
17,"RT3",311,0,1
17,"RT4",304,0,3
17,"RT4",311,0,1
18,"RT1",304,0,4
18,"RT1",308,0,0
18,"RT1",311,0,2
18,"RT2",304,0,7
18,"RT2",308,0,0
18,"RT2",311,0,2
18,"RT3",304,0,3
18,"RT3",311,0,0
18,"RT4",304,0,8
18,"RT4",308,0,0
18,"RT4",311,0,2
19,"RT1",304,0,2
19,"RT1",311,0,0
19,"RT2",304,1,0
19,"RT2",308,0,0
19,"RT2",311,0,0
19,"RT3",304,0,4
19,"RT3",308,0,0
19,"RT3",311,0,0
19,"RT4",304,0,0
19,"RT4",311,0,1
21,"RT1",304,0,3
21,"RT1",308,0,0
21,"RT1",311,0,4
21,"RT2",304,0,2
21,"RT2",308,0,0
21,"RT2",311,1,2
21,"RT3",304,0,5
21,"RT3",311,0,3
21,"RT4",304,0,7
21,"RT4",308,NA,NA
21,"RT4",311,NA,NA
22,"RT1",304,0,2
22,"RT1",308,NA,NA
22,"RT1",311,0,0
22,"RT2",304,0,0
22,"RT2",311,0,0
22,"RT3",304,0,0
22,"RT3",308,0,0
22,"RT3",311,0,1
22,"RT4",304,0,0
22,"RT4",308,0,0
22,"RT4",311,0,0
23,"RT1",304,1,3
23,"RT1",308,0,0
23,"RT1",311,0,0
23,"RT2",304,1,1
23,"RT2",311,5,1
23,"RT3",304,2,0
23,"RT3",308,0,0
23,"RT3",311,2,0
23,"RT4",304,0,0
23,"RT4",308,0,0
23,"RT4",311,3,0
24,"RT1",304,1,1
24,"RT1",308,0,0
24,"RT1",311,0,0
24,"RT2",304,1,2
24,"RT2",308,0,0
24,"RT2",311,0,0
24,"RT3",304,1,4
24,"RT3",311,1,0
24,"RT4",304,1,2
24,"RT4",311,4,0
25,"RT1",304,0,1
25,"RT1",311,NA,NA
25,"RT2",304,0,0
25,"RT2",308,0,0
25,"RT2",311,0,0
25,"RT3",304,0,0
25,"RT3",308,0,0
25,"RT3",311,0,0
25,"RT4",304,0,0
25,"RT4",311,0,0
26,"RT1",304,0,1
26,"RT1",308,0,0
26,"RT1",311,0,0
26,"RT2",304,0,1
26,"RT2",308,0,0
26,"RT2",311,0,0
26,"RT3",304,0,1
26,"RT3",311,0,0
26,"RT4",304,0,0
26,"RT4",308,0,0
26,"RT4",311,0,0
27,"RT1",304,2,2
27,"RT1",308,NA,NA
27,"RT1",311,NA,NA
27,"RT2",304,2,4
27,"RT2",311,3,12
27,"RT3",304,2,3
27,"RT3",311,3,12
27,"RT4",304,3,6
27,"RT4",308,0,0
27,"RT4",311,2,7
28,"RT1",304,1,3
28,"RT1",308,0,0
28,"RT1",311,0,2
28,"RT2",304,0,2
28,"RT2",308,0,0
28,"RT2",311,0,6
28,"RT3",304,0,5
28,"RT3",311,NA,NA
28,"RT4",304,0,3
28,"RT4",308,0,0
28,"RT4",311,0,3
