Player,Date,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Freemantle,11/25/2020,29,10,15,0.667,9,13,0.692,1,2,0.5,0,0,,3,9,12,4,1,2,1,1,21
Freemantle,11/26/2020,33,8,15,0.533,5,11,0.455,3,4,0.75,0,0,,3,4,7,0,0,0,2,2,19
Freemantle,11/27/2020,16,4,10,0.4,4,6,0.667,0,4,0,1,2,0.5,0,4,4,0,0,1,2,4,9
Freemantle,11/30/2020,40,11,12,0.917,10,10,1,1,2,0.5,1,2,0.5,3,10,13,2,0,1,3,1,24
Freemantle,12/2/2020,22,5,10,0.5,5,8,0.625,0,2,0,4,9,0.444,1,5,6,0,2,2,2,5,14
Freemantle,12/6/2020,34,7,15,0.467,5,10,0.5,2,5,0.4,0,1,0,0,9,9,0,0,0,4,3,16
Freemantle,12/9/2020,34,12,14,0.857,8,8,1,4,6,0.667,0,0,,1,4,5,3,2,1,2,2,28
Freemantle,12/20/2020,34,2,8,0.25,1,5,0.2,1,3,0.333,4,6,0.667,5,2,7,4,1,1,0,2,9
Freemantle,12/23/2020,23,3,9,0.333,3,8,0.375,0,1,0,1,2,0.5,1,4,5,0,1,0,2,5,7
Freemantle,12/30/2020,35,8,16,0.5,6,11,0.545,2,5,0.4,2,2,1,4,5,9,3,2,1,0,2,20
Freemantle,1/6/2021,21,0,6,0,0,5,0,0,1,0,5,6,0.833,3,7,10,0,0,1,3,2,5
Freemantle,1/10/2021,38,7,15,0.467,7,13,0.538,0,2,0,3,4,0.75,3,5,8,2,1,1,6,1,17
Freemantle,1/30/2021,36,3,10,0.3,3,5,0.6,0,5,0,0,3,0,1,9,10,1,2,1,1,1,6
Freemantle,2/13/2021,37,13,26,0.5,11,19,0.579,2,7,0.286,2,3,0.667,3,12,15,1,1,1,3,4,30
Freemantle,2/16/2021,35,10,16,0.625,8,12,0.667,2,4,0.5,0,0,,1,9,10,1,0,0,0,1,22
Freemantle,2/21/2021,27,5,9,0.556,5,6,0.833,0,3,0,7,11,0.636,2,8,10,0,0,2,0,4,17
Freemantle,2/24/2021,37,10,17,0.588,9,12,0.75,1,5,0.2,3,4,0.75,3,9,12,1,2,0,1,0,24
Freemantle,2/27/2021,38,7,12,0.583,6,9,0.667,1,3,0.333,2,3,0.667,0,10,10,3,0,1,1,3,17
Freemantle,3/2/2021,31,4,15,0.267,1,7,0.143,3,8,0.375,1,2,0.5,2,10,12,1,0,1,2,2,12
