"","Group","Score"
"1","Attractive",8.8
"2","Attractive",24.3
"3","Attractive",13.4
"4","Attractive",25
"5","Attractive",16.6
"6","Attractive",16.2
"7","Attractive",17.2
"8","Attractive",19.7
"9","Attractive",19.1
"10","Attractive",18.5
"11","No Photo",18.5
"12","No Photo",25
"13","No Photo",14.4
"14","No Photo",19.9
"15","No Photo",18.3
"16","No Photo",16.8
"17","No Photo",19.8
"18","No Photo",13.7
"19","No Photo",15.1
"20","No Photo",16.5
"21","Unattractive",18.5
"22","Unattractive",12.5
"23","Unattractive",23.8
"24","Unattractive",15.4
"25","Unattractive",21.8
"26","Unattractive",12.8
"27","Unattractive",16.5
"28","Unattractive",9.1
"29","Unattractive",11.2
"30","Unattractive",13.4
"31","Attractive",14.1
"32","Attractive",18.5
"33","Attractive",15.5
"34","Attractive",10.3
"35","Attractive",19.4
"36","Attractive",10.8
"37","Attractive",19.4
"38","Attractive",13.1
"39","Attractive",13.7
"40","Attractive",14.3
"41","No Photo",23.1
"42","No Photo",14.8
"43","No Photo",20.1
"44","No Photo",4.6
"45","No Photo",17.2
"46","No Photo",7
"47","No Photo",16.9
"48","No Photo",8.5
"49","No Photo",10.1
"50","No Photo",11.8
"51","Unattractive",4.6
"52","Unattractive",2.3
"53","Unattractive",14.5
"54","Unattractive",4.9
"55","Unattractive",8.7
"56","Unattractive",10.2
"57","Unattractive",11.1
"58","Unattractive",11
"59","Unattractive",10.2
"60","Unattractive",9.5
