HPI_rank,Country,Country_Code,Region,Population,Life_Expectancy,Wellbeing_Score,Carbon_Footprint,HPI_Score,GDP_per_capita
1,Vanuatu,VUT,8,319.1,70.4,7.12,2.62,57.9,2800
2,Sweden,SWE,3,10467.1,83,7.44,8.7,55.9,53772
3,El Salvador,SLV,1,6314.2,70.7,6.43,2.03,54.7,9192
4,Costa Rica,CRI,1,5154,77,6.41,4.37,54.1,21190
5,Nicaragua,NIC,1,6850.5,73.8,6.1,2.61,53.6,5692
6,Denmark,DNK,3,5854.2,81.4,7.7,10.04,53,57963
7,Spain,ESP,3,47486.9,83,6.47,7.12,53,37933
8,Panama,PAN,1,4351.3,76.2,6.55,5.24,52,30417
9,France,FRA,3,64531.4,82.5,6.66,7.91,52,44993
10,Chile,CHL,1,19493.2,78.9,6.44,6.2,51.3,25413
11,Portugal,PRT,3,10290.1,81,6.18,6.36,51,33681
12,Moldova,MDA,7,3061.5,68.8,5.96,1.29,50.9,13602
13,Honduras,HND,1,10278.3,70.1,6.11,2.19,50.8,5572
14,Netherlands,NLD,3,17501.7,81.7,7.31,10.11,50.7,56617
15,Norway,NOR,3,5403,83.2,7.36,11.02,50.5,65909
16,Guatemala,GTM,1,17608.5,69.2,6.3,2.47,50.4,8927
17,Finland,FIN,3,5536,82,7.79,12.19,49.8,48713
18,Italy,ITA,3,59240.3,82.9,6.47,8.49,49.6,42056
19,United Kingdom,GBR,3,67281,80.7,6.87,8.94,49.5,44949
20,Romania,ROU,7,19328.6,74.2,6.55,5.42,49.4,30974
21,Philippines,PHL,8,113880.3,69.3,5.97,2.08,49,8096
22,Israel,ISR,4,8900.1,82.3,7.58,12.25,48.6,42409
23,Greece,GRC,3,10445.4,80.1,6.1,6.89,48.3,29548
24,Slovenia,SVN,7,2119.4,80.7,6.76,9.26,48.1,40036
25,Croatia,HRV,7,4060.1,77.6,6.29,6.58,48,31793
26,Thailand,THA,8,71601.1,78.7,5.64,5.05,48,17087
27,Tajikistan,TJK,7,9750.1,71.6,5.29,1.48,47.8,3910
28,Ireland,IRL,3,4986.5,82,6.83,10.21,47.7,102785
29,Algeria,DZA,4,44178,76.4,5.22,3.11,47.4,11029
30,Dominican Republic,DOM,1,11117.9,72.6,6.03,4.13,47.3,18626
31,Peru,PER,1,33715.5,72.4,5.69,3.19,47,12534
32,Czech Republic,CZE,7,10510.8,77.7,6.94,9.23,46.8,41694
33,Albania,ALB,7,2854.7,76.5,5.26,3.67,46.3,14596
34,Brazil,BRA,1,214326.2,72.8,6.01,4.59,46.2,14736
35,Germany,DEU,3,83408.6,80.6,6.75,10.44,45.7,53180
36,Vietnam,VNM,8,97468,73.6,5.54,3.79,45.5,10628
37,Austria,AUT,3,8922.1,81.6,7.08,12.15,45.3,54121
38,Morocco,MAR,4,37076.6,74,5.33,3.38,45.3,8058
39,Ecuador,ECU,1,17797.7,73.7,5.43,3.82,44.7,10669
40,Jamaica,JAM,1,2827.7,70.5,5.81,3.78,44.5,9607
41,Argentina,ARG,1,45276.8,75.4,5.91,6.39,43.8,21527
42,New Zealand,NZL,2,5129.7,82.5,7.14,13.91,43.4,44042
43,Mexico,MEX,1,126705.1,70.2,5.99,4.69,43.3,19086
44,Uzbekistan,UZB,7,34081.4,70.9,6.19,5.69,43,7801
45,Armenia,ARM,7,2791,72,5.3,3.43,43,14193
46,Hungary,HUN,7,9709.8,74.5,6.23,7.46,42.9,33620
47,Colombia,COL,1,51516.6,72.8,5.29,3.74,42.9,14661
48,Switzerland,CHE,3,8691.4,84,7.33,15.7,42.9,70097
49,Japan,JPN,8,124612.5,84.8,6.09,11.66,42.7,41035
50,Bhutan,BTN,6,777.5,71.8,5.2,3.29,42.3,10908
51,China,CHN,8,1425893.5,78.2,5.86,8.38,41.9,17657
52,North Macedonia,MKD,7,2103.3,73.8,5.53,5.49,41.7,16709
53,Kyrgyzstan,KGZ,7,6527.7,70,5.56,4.09,41.4,4934
54,Taiwan,TWN,8,23859.9,81,6.25,11.43,41.2,
55,Lithuania,LTU,7,2786.7,73.7,6.86,10.27,41,39305
56,Slovakia,SVK,7,5447.6,74.9,6.42,9.34,41,32535
57,Sri Lanka,LKA,6,21773.4,76.4,4.1,2.18,40.4,13251
58,Iceland,ISL,3,370.3,82.7,7.56,17.82,40.3,53003
59,Poland,POL,7,38307.7,76.5,5.98,8.89,40.3,34916
60,Indonesia,IDN,8,273753.2,67.6,5.43,3.19,40.1,11859
61,Mauritius,MUS,5,1298.9,73.6,5.95,7.65,40,20902
62,Uruguay,URY,1,3426.3,75.4,6.5,10.51,39.9,23257
63,Bahrain,BHR,4,1463.3,78.8,6.5,12.14,39.9,49754
64,Bosnia and Herzegovina,BIH,7,3270.9,75.3,5.75,7.85,39.8,15893
65,Senegal,SEN,5,16876.7,67.1,4.9,1.47,39.7,3512
66,Australia,AUS,2,25921.1,84.5,7.11,17.7,39.5,49774
67,Malta,MLT,3,526.7,83.8,6.44,14.82,39.3,45572
68,Bangladesh,BGD,6,169356.3,72.4,4.12,1.22,39.2,5911
