Player,Date,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Johnson,11/25/2020,28,6,10,0.6,1,1,1,5,9,0.556,0,0,,0,5,5,5,2,1,2,0,17
Johnson,11/26/2020,39,1,7,0.143,0,3,0,1,4,0.25,0,0,,2,6,8,0,1,0,0,3,3
Johnson,11/27/2020,35,1,6,0.167,0,3,0,1,3,0.333,2,2,1,0,2,2,0,2,0,1,2,5
Johnson,11/30/2020,44,7,12,0.583,4,6,0.667,3,6,0.5,1,2,0.5,0,5,5,3,2,0,5,2,18
Johnson,12/2/2020,33,4,7,0.571,1,2,0.5,3,5,0.6,5,5,1,0,2,2,1,2,0,0,0,16
Johnson,12/6/2020,26,3,5,0.6,1,3,0.333,2,2,1,2,2,1,0,3,3,2,2,0,0,1,10
Johnson,12/9/2020,27,9,13,0.692,2,4,0.5,7,9,0.778,0,0,,2,4,6,1,1,0,0,2,25
Johnson,12/20/2020,33,4,8,0.5,0,2,0,4,6,0.667,2,2,1,1,4,5,1,0,0,2,0,14
Johnson,12/23/2020,32,4,13,0.308,2,5,0.4,2,8,0.25,2,2,1,1,4,5,1,0,0,0,1,12
Johnson,12/30/2020,19,0,5,0,0,2,0,0,3,0,0,0,,0,1,1,1,1,0,1,2,0
Johnson,1/6/2021,17,1,7,0.143,1,5,0.2,0,2,0,0,0,,0,0,0,1,3,0,3,0,2
Johnson,1/10/2021,28,5,8,0.625,1,2,0.5,4,6,0.667,0,3,0,0,4,4,2,2,0,0,1,14
Johnson,1/30/2021,37,5,7,0.714,1,1,1,4,6,0.667,0,0,,0,6,6,2,0,0,2,2,14
Johnson,2/13/2021,33,4,8,0.5,0,1,0,4,7,0.571,2,2,1,3,3,6,1,0,0,1,3,14
Johnson,2/16/2021,36,4,14,0.286,2,3,0.667,2,11,0.182,4,5,0.8,3,4,7,6,0,0,2,2,14
Johnson,2/21/2021,37,2,10,0.2,2,4,0.5,0,6,0,0,0,,0,2,2,0,1,0,1,1,4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
