Player,Date,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jones,12/6/2020,17,2,2,1,2,2,1,0,0,,1,2,0.5,0,4,4,3,1,0,1,1,5
Jones,12/9/2020,21,1,3,0.333,0,1,0,1,2,0.5,0,0,,1,2,3,4,1,1,3,1,3
Jones,12/20/2020,24,2,2,1,2,2,1,0,0,,2,2,1,0,2,2,4,3,1,2,4,6
Jones,12/23/2020,26,1,3,0.333,1,2,0.5,0,1,0,1,2,0.5,2,4,6,2,0,0,3,3,3
Jones,12/30/2020,28,1,5,0.2,1,2,0.5,0,3,0,0,0,,1,3,4,4,0,0,0,0,2
Jones,1/6/2021,28,6,10,0.6,6,8,0.75,0,2,0,4,6,0.667,2,2,4,3,1,0,3,3,16
Jones,1/10/2021,22,4,6,0.667,3,5,0.6,1,1,1,0,0,,1,2,3,2,1,0,2,1,9
Jones,2/13/2021,21,0,2,0,0,2,0,0,0,,5,8,0.625,1,2,3,2,1,0,0,2,5
Jones,2/16/2021,26,6,9,0.667,3,4,0.75,3,5,0.6,5,5,1,2,4,6,0,2,0,1,4,20
Jones,2/21/2021,35,5,8,0.625,4,6,0.667,1,2,0.5,2,3,0.667,3,8,11,4,4,0,3,1,13
Jones,2/24/2021,35,1,5,0.2,1,3,0.333,0,2,0,2,2,1,0,1,1,3,1,0,3,3,4
Jones,2/27/2021,30,3,6,0.5,3,5,0.6,0,1,0,0,0,,3,1,4,4,0,2,3,4,6
Jones,3/2/2021,32,3,9,0.333,2,7,0.286,1,2,0.5,4,5,0.8,3,4,7,4,1,0,1,4,11
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
