Player,Date,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kunkel,12/6/2020,15,2,5,0.4,0,1,0,2,4,0.5,0,0,,0,0,0,0,1,0,1,0,6
Kunkel,12/9/2020,19,0,3,0,0,1,0,0,2,0,0,0,,0,0,0,3,0,0,0,1,0
Kunkel,12/20/2020,17,7,9,0.778,5,5,1,2,4,0.5,6,6,1,1,1,2,0,2,0,1,1,22
Kunkel,12/23/2020,18,3,9,0.333,2,3,0.667,1,6,0.167,0,0,,0,5,5,0,2,0,0,1,7
Kunkel,12/30/2020,14,0,1,0,0,0,,0,1,0,0,0,,0,2,2,0,1,1,1,1,0
Kunkel,1/6/2021,14,1,5,0.2,1,2,0.5,0,3,0,0,0,,0,0,0,1,1,0,0,2,2
Kunkel,1/10/2021,18,4,9,0.444,4,4,1,0,5,0,0,1,0,0,0,0,5,2,0,1,0,8
Kunkel,1/30/2021,28,6,9,0.667,3,6,0.5,3,3,1,0,0,,0,3,3,2,0,1,4,3,15
Kunkel,2/13/2021,27,2,5,0.4,0,1,0,2,4,0.5,0,0,,0,0,0,3,1,1,0,4,6
Kunkel,2/16/2021,22,2,10,0.2,1,3,0.333,1,7,0.143,0,0,,0,1,1,2,1,0,2,1,5
Kunkel,2/21/2021,8,0,3,0,0,1,0,0,2,0,0,0,,0,0,0,0,0,0,0,1,0
Kunkel,2/24/2021,16,1,4,0.25,0,1,0,1,3,0.333,0,0,,0,2,2,1,1,0,0,4,3
Kunkel,2/27/2021,19,4,9,0.444,2,4,0.5,2,5,0.4,2,2,1,0,1,1,2,1,0,1,1,12
Kunkel,3/2/2021,21,4,10,0.4,2,2,1,2,8,0.25,0,0,,0,1,1,3,2,0,2,3,10
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
