Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,ID
CJ Abrams*,21,TOT,NL,90,302,284,33,70,12,2,2,21,7,4,5,50,0.246,0.28,0.324,0.604,abramcj01
CJ Abrams*,21,SDP,NL,46,139,125,16,29,5,0,2,11,1,2,4,27,0.232,0.285,0.32,0.605,abramcj01
CJ Abrams*,21,WSN,NL,44,163,159,17,41,7,2,0,10,6,2,1,23,0.258,0.276,0.327,0.603,abramcj01
Albert Abreu,26,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,abreual01
Albert Abreu,26,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,abreual01
José Abreu,35,CHW,AL,157,679,601,85,183,40,0,15,75,0,0,62,110,0.304,0.378,0.446,0.824,abreujo02
Ronald Acuna Jr.,24,ATL,NL,119,533,467,71,124,24,0,15,50,29,11,53,126,0.266,0.351,0.413,0.764,acunaro01
Willy Adames,26,MIL,NL,139,617,563,83,134,31,0,31,98,8,3,49,166,0.238,0.298,0.458,0.756,adamewi01
Riley Adams,26,WSN,NL,48,155,142,14,25,4,0,5,10,0,1,12,46,0.176,0.245,0.31,0.555,adamsri03
Jo Adell,23,LAA,AL,88,285,268,22,60,12,2,8,27,4,2,11,107,0.224,0.264,0.373,0.637,adelljo01
Ehire Adrianza#,32,TOT,NL,37,110,97,8,17,3,0,0,7,1,0,11,25,0.175,0.264,0.206,0.47,adriaeh01
Ehire Adrianza#,32,WSN,NL,31,94,84,5,15,2,0,0,7,1,0,8,22,0.179,0.255,0.202,0.458,adriaeh01
Ehire Adrianza#,32,ATL,NL,6,16,13,3,2,1,0,0,0,0,0,3,3,0.154,0.313,0.231,0.543,adriaeh01
Jesus Aguilar,32,TOT,MLB,129,507,464,39,109,19,0,16,51,1,0,28,119,0.235,0.281,0.379,0.661,aguilje01
Jesus Aguilar,32,MIA,NL,113,456,415,37,98,18,0,15,49,1,0,27,106,0.236,0.286,0.388,0.674,aguilje01
Jesus Aguilar,32,BAL,AL,16,51,49,2,11,1,0,1,2,0,0,1,13,0.224,0.24,0.306,0.546,aguilje01
