"season","game_id","game_type","week","home_team","away_team","home_score","away_score","game_outcome","score_diff"
2018,"2018_10_WAS_TB","Reg",10,"TB","WAS",3,16,0,-13
2018,"2018_04_TB_CHI","Reg",4,"CHI","TB",48,10,1,38
2020,"2020_13_NYG_SEA","Reg",13,"SEA","NYG",12,17,0,-5
2020,"2020_14_DAL_CIN","Reg",14,"CIN","DAL",7,30,0,-23
2022,"2022_11_PHI_IND","Reg",11,"IND","PHI",16,17,0,-1
2020,"2020_09_MIA_ARI","Reg",9,"ARI","MIA",31,34,0,-3
2021,"2021_02_BUF_MIA","Reg",2,"MIA","BUF",0,35,0,-35
2020,"2020_05_LA_WAS","Reg",5,"WAS","LA",10,30,0,-20
2020,"2020_04_NO_DET","Reg",4,"DET","NO",29,35,0,-6
2023,"2023_01_CIN_CLE","Reg",1,"CLE","CIN",24,3,1,21
2018,"2018_15_OAK_CIN","Reg",15,"CIN","OAK",30,16,1,14
2022,"2022_02_TB_NO","Reg",2,"NO","TB",10,20,0,-10
2018,"2018_05_LA_SEA","Reg",5,"SEA","LA",31,33,0,-2
2021,"2021_18_PIT_BAL","Reg",18,"BAL","PIT",13,16,0,-3
2023,"2023_18_KC_LAC","Reg",18,"LAC","KC",12,13,0,-1
2021,"2021_04_ARI_LA","Reg",4,"LA","ARI",20,37,0,-17
2023,"2023_08_CLE_SEA","Reg",8,"SEA","CLE",24,20,1,4
2021,"2021_09_NE_CAR","Reg",9,"CAR","NE",6,24,0,-18
2021,"2021_18_GB_DET","Reg",18,"DET","GB",37,30,1,7
2021,"2021_09_LAC_PHI","Reg",9,"PHI","LAC",24,27,0,-3
2022,"2022_15_CIN_TB","Reg",15,"TB","CIN",23,34,0,-11
2022,"2022_13_LAC_LV","Reg",13,"LV","LAC",27,20,1,7
2021,"2021_12_PIT_CIN","Reg",12,"CIN","PIT",41,10,1,31
2020,"2020_13_WAS_PIT","Reg",13,"PIT","WAS",17,23,0,-6
2021,"2021_03_ARI_JAX","Reg",3,"JAX","ARI",19,31,0,-12
2019,"2019_16_KC_CHI","Reg",16,"CHI","KC",3,26,0,-23
2021,"2021_16_BUF_NE","Reg",16,"NE","BUF",21,33,0,-12
2020,"2020_16_PHI_DAL","Reg",16,"DAL","PHI",37,17,1,20
2019,"2019_09_MIN_KC","Reg",9,"KC","MIN",26,23,1,3
2018,"2018_01_CHI_GB","Reg",1,"GB","CHI",24,23,1,1
2022,"2022_06_NYJ_GB","Reg",6,"GB","NYJ",10,27,0,-17
2023,"2023_12_CHI_MIN","Reg",12,"MIN","CHI",10,12,0,-2
2020,"2020_04_NYG_LA","Reg",4,"LA","NYG",17,9,1,8
2018,"2018_04_BAL_PIT","Reg",4,"PIT","BAL",14,26,0,-12
2023,"2023_09_IND_CAR","Reg",9,"CAR","IND",13,27,0,-14
2023,"2023_01_TB_MIN","Reg",1,"MIN","TB",17,20,0,-3
2023,"2023_11_DAL_CAR","Reg",11,"CAR","DAL",10,33,0,-23
2020,"2020_07_KC_DEN","Reg",7,"DEN","KC",16,43,0,-27
2020,"2020_03_LV_NE","Reg",3,"NE","LV",36,20,1,16
2020,"2020_19_TB_NO","Playoff",19,"NO","TB",20,30,0,-10
2023,"2023_13_CAR_TB","Reg",13,"TB","CAR",21,18,1,3
2018,"2018_03_CIN_CAR","Reg",3,"CAR","CIN",31,21,1,10
2021,"2021_12_BUF_NO","Reg",12,"NO","BUF",6,31,0,-25
2018,"2018_12_JAX_BUF","Reg",12,"BUF","JAX",24,21,1,3
2021,"2021_07_ATL_MIA","Reg",7,"MIA","ATL",28,30,0,-2
2020,"2020_13_DEN_KC","Reg",13,"KC","DEN",22,16,1,6
2022,"2022_06_WAS_CHI","Reg",6,"CHI","WAS",7,12,0,-5
2023,"2023_16_NYG_PHI","Reg",16,"PHI","NYG",33,25,1,8
2020,"2020_10_SEA_LA","Reg",10,"LA","SEA",23,16,1,7
2020,"2020_03_WAS_CLE","Reg",3,"CLE","WAS",34,20,1,14
2022,"2022_03_PHI_WAS","Reg",3,"WAS","PHI",8,24,0,-16
2019,"2019_13_TB_JAX","Reg",13,"JAX","TB",11,28,0,-17
2023,"2023_16_BAL_SF","Reg",16,"SF","BAL",19,33,0,-14
2018,"2018_01_SEA_DEN","Reg",1,"DEN","SEA",27,24,1,3
2020,"2020_14_IND_LV","Reg",14,"LV","IND",27,44,0,-17
2019,"2019_12_NYG_CHI","Reg",12,"CHI","NYG",19,14,1,5
2020,"2020_04_CLE_DAL","Reg",4,"DAL","CLE",38,49,0,-11
2018,"2018_04_MIA_NE","Reg",4,"NE","MIA",38,7,1,31
2019,"2019_07_JAX_CIN","Reg",7,"CIN","JAX",17,27,0,-10
2023,"2023_11_ARI_HOU","Reg",11,"HOU","ARI",21,16,1,5
2022,"2022_02_CIN_DAL","Reg",2,"DAL","CIN",20,17,1,3
2023,"2023_14_IND_CIN","Reg",14,"CIN","IND",34,14,1,20
2020,"2020_10_DEN_LV","Reg",10,"LV","DEN",37,12,1,25
2021,"2021_10_TB_WAS","Reg",10,"WAS","TB",29,19,1,10
2020,"2020_03_MIA_JAX","Reg",3,"JAX","MIA",13,31,0,-18
2022,"2022_12_BAL_JAX","Reg",12,"JAX","BAL",28,27,1,1
2022,"2022_13_MIA_SF","Reg",13,"SF","MIA",33,17,1,16
2023,"2023_13_IND_TEN","Reg",13,"TEN","IND",28,31,0,-3
2021,"2021_04_SEA_SF","Reg",4,"SF","SEA",21,28,0,-7
2018,"2018_11_PIT_JAX","Reg",11,"JAX","PIT",16,20,0,-4
2023,"2023_06_DET_TB","Reg",6,"TB","DET",6,20,0,-14
2023,"2023_04_MIA_BUF","Reg",4,"BUF","MIA",48,20,1,28
2021,"2021_18_NO_ATL","Reg",18,"ATL","NO",20,30,0,-10
2019,"2019_14_PIT_ARI","Reg",14,"ARI","PIT",17,23,0,-6
2021,"2021_07_CHI_TB","Reg",7,"TB","CHI",38,3,1,35
2018,"2018_06_JAX_DAL","Reg",6,"DAL","JAX",40,7,1,33
2018,"2018_09_CHI_BUF","Reg",9,"BUF","CHI",9,41,0,-32
2023,"2023_09_MIA_KC","Reg",9,"KC","MIA",21,14,1,7
2021,"2021_04_LV_LAC","Reg",4,"LAC","LV",28,14,1,14
2023,"2023_12_NO_ATL","Reg",12,"ATL","NO",24,15,1,9
2023,"2023_16_BUF_LAC","Reg",16,"LAC","BUF",22,24,0,-2
2023,"2023_02_WAS_DEN","Reg",2,"DEN","WAS",33,35,0,-2
2021,"2021_01_DEN_NYG","Reg",1,"NYG","DEN",13,27,0,-14
2022,"2022_18_NE_BUF","Reg",18,"BUF","NE",35,23,1,12
2018,"2018_05_MIN_PHI","Reg",5,"PHI","MIN",21,23,0,-2
2021,"2021_16_DET_ATL","Reg",16,"ATL","DET",20,16,1,4
2020,"2020_02_DET_GB","Reg",2,"GB","DET",42,21,1,21
2019,"2019_06_NYG_NE","Reg",6,"NE","NYG",35,14,1,21
2019,"2019_03_HOU_LAC","Reg",3,"LAC","HOU",20,27,0,-7
2021,"2021_07_WAS_GB","Reg",7,"GB","WAS",24,10,1,14
2021,"2021_14_LV_KC","Reg",14,"KC","LV",48,9,1,39
2020,"2020_06_NYJ_MIA","Reg",6,"MIA","NYJ",24,0,1,24
2020,"2020_01_PHI_WAS","Reg",1,"WAS","PHI",27,17,1,10
2021,"2021_12_PHI_NYG","Reg",12,"NYG","PHI",13,7,1,6
2023,"2023_07_PIT_LA","Reg",7,"LA","PIT",17,24,0,-7
2023,"2023_20_TB_DET","Playoff",20,"DET","TB",31,23,1,8
2019,"2019_12_DEN_BUF","Reg",12,"BUF","DEN",20,3,1,17
2018,"2018_10_MIA_GB","Reg",10,"GB","MIA",31,12,1,19
2021,"2021_15_WAS_PHI","Reg",15,"PHI","WAS",27,17,1,10
2018,"2018_02_CAR_ATL","Reg",2,"ATL","CAR",31,24,1,7
2019,"2019_13_GB_NYG","Reg",13,"NYG","GB",13,31,0,-18
2019,"2019_13_NE_HOU","Reg",13,"HOU","NE",28,22,1,6
2020,"2020_08_NYJ_KC","Reg",8,"KC","NYJ",35,9,1,26
2018,"2018_17_LAC_DEN","Reg",17,"DEN","LAC",9,23,0,-14
2023,"2023_04_LA_IND","Reg",4,"IND","LA",23,29,0,-6
2019,"2019_09_IND_PIT","Reg",9,"PIT","IND",26,24,1,2
2019,"2019_04_WAS_NYG","Reg",4,"NYG","WAS",24,3,1,21
2023,"2023_05_NO_NE","Reg",5,"NE","NO",0,34,0,-34
2023,"2023_03_BUF_WAS","Reg",3,"WAS","BUF",3,37,0,-34
2023,"2023_02_NYJ_DAL","Reg",2,"DAL","NYJ",30,10,1,20
2021,"2021_05_CHI_LV","Reg",5,"LV","CHI",9,20,0,-11
2021,"2021_11_IND_BUF","Reg",11,"BUF","IND",15,41,0,-26
2021,"2021_10_NO_TEN","Reg",10,"TEN","NO",23,21,1,2
2020,"2020_01_MIA_NE","Reg",1,"NE","MIA",21,11,1,10
2023,"2023_01_TEN_NO","Reg",1,"NO","TEN",16,15,1,1
2018,"2018_16_JAX_MIA","Reg",16,"MIA","JAX",7,17,0,-10
2018,"2018_12_TEN_HOU","Reg",12,"HOU","TEN",34,17,1,17
2020,"2020_01_CLE_BAL","Reg",1,"BAL","CLE",38,6,1,32
2023,"2023_04_SEA_NYG","Reg",4,"NYG","SEA",3,24,0,-21
2018,"2018_05_ARI_SF","Reg",5,"SF","ARI",18,28,0,-10
2019,"2019_17_LAC_KC","Reg",17,"KC","LAC",31,21,1,10
2018,"2018_06_KC_NE","Reg",6,"NE","KC",43,40,1,3
2019,"2019_06_TEN_DEN","Reg",6,"DEN","TEN",16,0,1,16
2022,"2022_06_SF_ATL","Reg",6,"ATL","SF",28,14,1,14
2023,"2023_13_SEA_DAL","Reg",13,"DAL","SEA",41,35,1,6
2022,"2022_19_DAL_TB","Playoff",19,"TB","DAL",14,31,0,-17
2018,"2018_02_CLE_NO","Reg",2,"NO","CLE",21,18,1,3
2018,"2018_03_NE_DET","Reg",3,"DET","NE",26,10,1,16
2018,"2018_21_NE_LA","Playoff",21,"LA","NE",3,13,0,-10
2023,"2023_21_DET_SF","Playoff",21,"SF","DET",34,31,1,3
2022,"2022_01_IND_HOU","Reg",1,"HOU","IND",20,20,0.5,0
2021,"2021_10_BAL_MIA","Reg",10,"MIA","BAL",22,10,1,12
2021,"2021_08_NE_LAC","Reg",8,"LAC","NE",24,27,0,-3
2021,"2021_21_SF_LA","Playoff",21,"LA","SF",20,17,1,3
2020,"2020_14_PIT_BUF","Reg",14,"BUF","PIT",26,15,1,11
2018,"2018_17_NYJ_NE","Reg",17,"NE","NYJ",38,3,1,35
2020,"2020_03_CIN_PHI","Reg",3,"PHI","CIN",23,23,0.5,0
2020,"2020_06_WAS_NYG","Reg",6,"NYG","WAS",20,19,1,1
2018,"2018_08_NYJ_CHI","Reg",8,"CHI","NYJ",24,10,1,14
2018,"2018_17_CIN_PIT","Reg",17,"PIT","CIN",16,13,1,3
2023,"2023_16_IND_ATL","Reg",16,"ATL","IND",29,10,1,19
2019,"2019_14_MIA_NYJ","Reg",14,"NYJ","MIA",22,21,1,1
2018,"2018_03_NYG_HOU","Reg",3,"HOU","NYG",22,27,0,-5
2023,"2023_11_TEN_JAX","Reg",11,"JAX","TEN",34,14,1,20
2020,"2020_13_BUF_SF","Reg",13,"SF","BUF",24,34,0,-10
2021,"2021_16_LAC_HOU","Reg",16,"HOU","LAC",41,29,1,12
2019,"2019_13_LA_ARI","Reg",13,"ARI","LA",7,34,0,-27
2022,"2022_01_GB_MIN","Reg",1,"MIN","GB",23,7,1,16
2022,"2022_19_MIA_BUF","Playoff",19,"BUF","MIA",34,31,1,3
2022,"2022_05_IND_DEN","Reg",5,"DEN","IND",9,12,0,-3
2021,"2021_05_TEN_JAX","Reg",5,"JAX","TEN",19,37,0,-18
2019,"2019_15_CLE_ARI","Reg",15,"ARI","CLE",38,24,1,14
2021,"2021_15_TEN_PIT","Reg",15,"PIT","TEN",19,13,1,6
2019,"2019_05_NYJ_PHI","Reg",5,"PHI","NYJ",31,6,1,25
2021,"2021_11_DAL_KC","Reg",11,"KC","DAL",19,9,1,10
2019,"2019_18_TEN_NE","Playoff",18,"NE","TEN",13,20,0,-7
2018,"2018_12_GB_MIN","Reg",12,"MIN","GB",24,17,1,7
2020,"2020_13_LA_ARI","Reg",13,"ARI","LA",28,38,0,-10
2023,"2023_09_TB_HOU","Reg",9,"HOU","TB",39,37,1,2
2023,"2023_12_CAR_TEN","Reg",12,"TEN","CAR",17,10,1,7
2018,"2018_16_DEN_OAK","Reg",16,"OAK","DEN",27,14,1,13
2023,"2023_17_SF_WAS","Reg",17,"WAS","SF",10,27,0,-17
2021,"2021_09_CLE_CIN","Reg",9,"CIN","CLE",16,41,0,-25
2021,"2021_15_ATL_SF","Reg",15,"SF","ATL",31,13,1,18
2021,"2021_06_MIN_CAR","Reg",6,"CAR","MIN",28,34,0,-6
2018,"2018_15_WAS_JAX","Reg",15,"JAX","WAS",13,16,0,-3
2023,"2023_02_MIA_NE","Reg",2,"NE","MIA",17,24,0,-7
2023,"2023_07_MIA_PHI","Reg",7,"PHI","MIA",31,17,1,14
2023,"2023_17_GB_MIN","Reg",17,"MIN","GB",10,33,0,-23
2019,"2019_02_LAC_DET","Reg",2,"DET","LAC",13,10,1,3
2020,"2020_06_LA_SF","Reg",6,"SF","LA",24,16,1,8
2020,"2020_11_NE_HOU","Reg",11,"HOU","NE",27,20,1,7
