"education","frequency"
"Some College","Some"
"Some College","Rarely"
"Some College","Never"
"4-year Degree","Rarely"
"4-year Degree","Rarely"
"4-year Degree","Rarely"
"4-year Degree","Never"
"4-year Degree","Never"
"4-year Degree","Never"
"4-year Degree","Never"
"4-year Degree","Never"
"4-year Degree","Never"
"4-year Degree","Never"
"4-year Degree","Never"
"4-year Degree","Never"
"4-year Degree","Never"
"4-year Degree","Never"
"4-year Degree","Never"
"4-year Degree","Never"
"4-year Degree","Never"
"4-year Degree","Never"
"4-year Degree","Never"
"4-year Degree","Never"
"Master’s","Rarely"
"Master’s","Rarely"
"Master’s","Rarely"
"Master’s","Rarely"
"Master’s","Rarely"
"Master’s","Never"
"Master’s","Never"
"Master’s","Never"
"Master’s","Never"
"Master’s","Never"
"Master’s","Never"
"Master’s","Never"
"Master’s","Never"
"Master’s","Never"
"Master’s","Never"
"Master’s","Never"
"Master’s","Never"
"Master’s","Never"
"Ph.D.","Rarely"
"Ph.D.","Rarely"
"Ph.D.","Rarely"
"Ph.D.","Rarely"
"Ph.D.","Rarely"
"Ph.D.","Rarely"
"Ph.D.","Rarely"
"Ph.D.","Rarely"
"Ph.D.","Rarely"
"Ph.D.","Rarely"
"Ph.D.","Rarely"
"Ph.D.","Rarely"
"Ph.D.","Rarely"
"Ph.D.","Rarely"
"Ph.D.","Rarely"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Ph.D.","Never"
"Other Degree","Never"
"Other Degree","Never"
"Other Degree","Never"
