Player,Date,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Odom,11/25/2020,25,5,8,0.625,5,6,0.833,0,2,0,2,2,1,0,3,3,4,1,2,1,4,12
Odom,11/26/2020,25,2,10,0.2,2,10,0.2,0,0,,0,0,,1,3,4,4,1,0,0,1,4
Odom,11/27/2020,32,4,8,0.5,4,6,0.667,0,2,0,0,0,,1,4,5,6,1,2,1,1,8
Odom,11/30/2020,29,3,5,0.6,3,5,0.6,0,0,,0,2,0,0,7,7,6,0,3,7,2,6
Odom,12/2/2020,31,2,6,0.333,2,6,0.333,0,0,,0,0,,0,3,3,5,2,0,1,0,4
Odom,12/6/2020,20,0,1,0,0,1,0,0,0,,6,8,0.75,0,2,2,2,0,0,2,3,6
Odom,12/9/2020,14,2,3,0.667,2,3,0.667,0,0,,1,1,1,0,1,1,5,0,0,0,1,5
Odom,12/30/2020,15,2,3,0.667,2,3,0.667,0,0,,0,0,,0,1,1,5,0,0,0,0,4
Odom,1/6/2021,28,5,10,0.5,5,10,0.5,0,0,,1,3,0.333,1,4,5,2,1,0,1,2,11
Odom,1/10/2021,19,1,3,0.333,1,2,0.5,0,1,0,1,2,0.5,0,1,1,3,2,0,0,1,3
Odom,1/30/2021,19,0,6,0,0,5,0,0,1,0,2,2,1,1,0,1,2,0,0,0,0,2
Odom,2/13/2021,10,1,2,0.5,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,1,1,2
Odom,2/16/2021,5,0,1,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,1,0
Odom,2/21/2021,13,3,6,0.5,3,6,0.5,0,0,,2,3,0.667,0,0,0,3,1,0,0,1,8
Odom,2/24/2021,31,5,6,0.833,4,5,0.8,1,1,1,0,0,,1,4,5,2,0,0,0,3,11
Odom,2/27/2021,28,6,10,0.6,6,8,0.75,0,2,0,0,1,0,0,3,3,4,2,2,1,2,12
Odom,3/2/2021,26,3,8,0.375,2,5,0.4,1,3,0.333,1,2,0.5,0,2,2,0,1,0,3,2,8
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
