County,Bladder,Brain.and.Other.CNS,Breast,Cervix,Colon,Esophagus,HodgkinsLymphoma,KidneyRenalPelvis,Larynx,Leukemia,Liver,Lung,Melanoma,MultipleMyeloma,NonHodgkinsLymphoma,Oral,OtherSite,Ovary,Pancreas,Prostate,Stomach,Testis,Thyroid,Uterus,TotalCancerCases,area,poptotal,popdensity,popwhite,popblack,popamerindian,popasian,popother,percwhite,percblack,percamerindan,percasian,percother,popadults,perchsd,percollege,percprof,poppovertyknown,percpovertyknown,percbelowpoverty,percchildbelowpovert,percadultpoverty,percelderlypoverty,inmetro
Adams,28,6,58,7,56,5,2,33,5,11,15,101,31,2,24,21,32,4,11,54,16,1,14,33,570,0.035,25371,724.885714,25212,47,67,30,15,99.3733002,0.18525088,0.26408104,0.11824524,0.05912262,15569,58.3852527,8.74173036,2.15813475,25028,98.6480627,28.5280486,35.0246846,25.7522586,26.1800599,0
Allen,117,28,226,6,174,24,8,78,15,48,24,281,82,28,77,46,141,18,42,281,25,10,51,45,"1,875",0.024,109755,4573.125,96177,12313,202,572,491,87.6288096,11.2186233,0.18404628,0.52116077,0.44736003,68893,76.1499717,17.3660604,3.47930849,104543,95.2512414,12.6665583,17.8579862,10.5679214,10.7444235,1
Ashland,51,18,138,7,114,15,5,38,6,33,16,142,55,15,32,10,77,7,23,112,13,4,24,29,984,0.025,47507,1900.28,46686,460,49,271,41,98.2718336,0.96827836,0.10314269,0.57044225,0.08630307,29403,76.0024487,17.2669455,4.15943951,45486,95.7458901,11.3441498,17.2289909,9.15943446,8.67428431,0
Ashtabula,80,17,235,19,156,18,5,51,10,42,28,349,85,23,61,48,140,15,50,156,29,4,55,81,"1,757",0.041,99821,2434.65854,95465,3138,196,350,672,95.6361888,3.14362709,0.19635147,0.35062762,0.67320504,63850,72.3790133,13.2435395,2.88332028,97541,97.7159115,16.117325,23.8186247,13.6699531,11.9077683,1
Athens,42,9,117,9,84,14,3,47,5,22,17,146,62,6,32,39,77,8,11,88,3,4,21,27,893,0.03,59549,1984.96667,56163,1678,167,1374,167,94.3139263,2.81784749,0.28044132,2.30734353,0.28044132,30179,74.6114848,29.1494085,12.0447994,51002,85.6471141,28.6733854,29.2581157,31.7442813,14.3249554,0
Auglaize,43,12,97,4,84,16,2,39,8,18,5,105,52,9,29,21,53,8,27,124,8,2,29,23,818,0.024,44585,1857.70833,44225,66,50,177,67,99.1925535,0.14803185,0.11214534,0.3969945,0.15027476,27676,76.4561353,16.1764706,3.24468854,43911,98.4882808,6.26949967,8.14294535,5.28379951,6.08875129,1
Belmont,72,12,188,7,140,19,5,43,8,34,15,220,59,6,55,27,85,17,24,139,11,4,35,41,"1,266",0.031,71074,2292.70968,69520,1308,81,129,36,97.8135464,1.84033543,0.11396573,0.18150097,0.05065143,48645,72.3424812,14.1576729,3.22746428,69952,98.4213636,17.4190874,25.849973,15.7629051,12.5753241,1
Brown,51,11,84,11,88,9,2,45,14,15,17,168,45,6,34,32,53,10,25,63,11,0,14,23,831,0.028,34966,1248.78571,34487,406,28,30,15,98.6300978,1.16112795,0.08007779,0.08579763,0.04289882,21769,64.9088153,11.4336901,3.1742386,34439,98.4928216,14.1554633,18.6900797,11.1457233,16.3148479,1
Butler,204,87,895,54,514,76,23,225,57,144,84,877,258,71,201,165,424,76,159,508,64,31,130,215,"5,542",0.028,291479,10409.9643,274892,13134,379,2659,415,94.3093671,4.50598499,0.13002652,0.91224411,0.14237732,176989,75.9736481,24.2252343,6.75917712,279692,95.9561409,10.6499292,13.1730731,10.0032732,8.52227905,1
Carroll,31,3,80,2,41,13,4,23,4,6,6,88,22,8,20,19,44,7,12,75,8,2,12,17,547,0.024,26521,1105.04167,26254,135,65,29,38,98.9932506,0.50903058,0.2450888,0.10934731,0.14328268,17124,71.5253445,11.323289,3.07171222,26075,98.3183138,11.746884,14.6183522,10.9407318,9.75813178,1
