"first_move","second_move"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Rock"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Paper"
"Rock","Scissors"
"Rock","Scissors"
"Rock","Scissors"
"Rock","Scissors"
"Rock","Scissors"
"Rock","Scissors"
"Rock","Scissors"
"Rock","Scissors"
"Rock","Scissors"
"Rock","Scissors"
"Rock","Scissors"
"Rock","Scissors"
"Rock","Scissors"
"Rock","Scissors"
"Paper","Rock"
"Paper","Rock"
"Paper","Rock"
"Paper","Rock"
"Paper","Rock"
"Paper","Rock"
"Paper","Rock"
"Paper","Rock"
"Paper","Rock"
"Paper","Rock"
"Paper","Rock"
"Paper","Paper"
"Paper","Paper"
"Paper","Paper"
"Paper","Paper"
"Paper","Paper"
"Paper","Paper"
"Paper","Paper"
"Paper","Paper"
"Paper","Paper"
"Paper","Paper"
"Paper","Paper"
"Paper","Paper"
"Paper","Paper"
"Paper","Paper"
"Paper","Paper"
"Paper","Paper"
"Paper","Scissors"
"Paper","Scissors"
"Paper","Scissors"
"Paper","Scissors"
"Paper","Scissors"
"Paper","Scissors"
"Paper","Scissors"
"Paper","Scissors"
"Paper","Scissors"
"Paper","Scissors"
"Paper","Scissors"
"Paper","Scissors"
"Scissors","Rock"
"Scissors","Rock"
"Scissors","Rock"
"Scissors","Paper"
"Scissors","Paper"
"Scissors","Paper"
"Scissors","Paper"
"Scissors","Scissors"
"Scissors","Scissors"
"Scissors","Scissors"
"Scissors","Scissors"
"Scissors","Scissors"
"Scissors","Scissors"
"Scissors","Scissors"
