Player,Date,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Scruggs,11/25/2020,1,31,3,10,0.3,2,3,0.667,1,7,0.143,0,0,,1,5,6,10,3,0,2,1,7
Scruggs,11/26/2020,1,39,6,17,0.353,5,10,0.5,1,7,0.143,4,8,0.5,0,1,1,7,2,1,4,3,17
Scruggs,11/27/2020,1,39,6,10,0.6,5,7,0.714,1,3,0.333,2,4,0.5,1,5,6,7,4,1,1,4,15
Scruggs,11/30/2020,1,21,3,6,0.5,3,3,1,0,3,0,3,3,1,1,2,3,4,0,0,2,5,9
Scruggs,12/2/2020,1,29,5,9,0.556,3,6,0.5,2,3,0.667,2,2,1,0,4,4,9,2,2,1,2,14
Scruggs,12/6/2020,1,31,6,10,0.6,6,8,0.75,0,2,0,8,8,1,0,5,5,5,0,1,2,2,20
Scruggs,12/9/2020,1,28,6,11,0.545,2,6,0.333,4,5,0.8,4,4,1,1,3,4,8,3,0,3,3,20
Scruggs,12/20/2020,1,34,11,19,0.579,6,11,0.545,5,8,0.625,2,2,1,0,4,4,6,3,0,4,2,29
Scruggs,12/23/2020,1,32,4,9,0.444,1,4,0.25,3,5,0.6,0,0,,0,3,3,4,1,1,2,0,11
Scruggs,12/30/2020,1,30,3,9,0.333,3,7,0.429,0,2,0,0,0,,0,0,0,8,1,0,2,2,6
Scruggs,1/6/2021,1,31,3,7,0.429,3,6,0.5,0,1,0,4,4,1,0,4,4,3,2,0,3,3,10
Scruggs,1/10/2021,1,34,2,7,0.286,1,4,0.25,1,3,0.333,3,4,0.75,0,3,3,4,1,0,3,3,8
Scruggs,1/30/2021,1,33,9,13,0.692,7,11,0.636,2,2,1,4,4,1,2,5,7,3,0,0,3,3,24
Scruggs,2/13/2021,1,35,3,10,0.3,2,5,0.4,1,5,0.2,2,3,0.667,1,3,4,12,4,1,3,4,9
Scruggs,2/16/2021,1,35,5,13,0.385,4,7,0.571,1,6,0.167,3,4,0.75,1,5,6,6,1,0,3,4,14
Scruggs,2/21/2021,1,34,1,6,0.167,1,5,0.2,0,1,0,0,0,,1,3,4,6,1,1,3,2,2
Scruggs,2/24/2021,1,34,8,21,0.381,8,17,0.471,0,4,0,6,8,0.75,0,2,2,3,1,0,2,3,22
Scruggs,2/27/2021,1,37,9,13,0.692,6,8,0.75,3,5,0.6,2,2,1,0,7,7,5,2,1,4,3,23
Scruggs,3/2/2021,1,23,1,5,0.2,1,3,0.333,0,2,0,3,3,1,0,2,2,3,1,0,2,5,5
