"Class","Sex","Age","Survived"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Male","Child","Died"
"3rd","Female","Child","Died"
"3rd","Female","Child","Died"
"3rd","Female","Child","Died"
"3rd","Female","Child","Died"
"3rd","Female","Child","Died"
"3rd","Female","Child","Died"
"3rd","Female","Child","Died"
"3rd","Female","Child","Died"
"3rd","Female","Child","Died"
"3rd","Female","Child","Died"
"3rd","Female","Child","Died"
"3rd","Female","Child","Died"
"3rd","Female","Child","Died"
"3rd","Female","Child","Died"
"3rd","Female","Child","Died"
"3rd","Female","Child","Died"
"3rd","Female","Child","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"1st","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
