"x","target"
91.481,198.966
93.708,202.639
28.614,62.212
83.045,185.332
64.175,135.015
51.91,114.347
73.659,155.206
13.467,36.322
65.699,142.339
70.506,151.609
45.774,101.423
71.911,154.363
93.467,194.507
25.543,58.565
46.229,94.153
94.001,196.091
97.823,203.082
11.749,47.007
47.5,98.189
56.033,122.753
90.403,183.338
13.871,30.39
98.889,208.402
94.667,194.35
8.244,26.478
51.421,110.701
39.02,84.972
90.574,181.024
44.697,93.27
83.6,178.098
73.76,160.357
81.106,169.747
38.811,87.622
68.517,152.648
0.395,17.989
83.292,171.098
0.733,10.88
20.766,57.539
90.66,188.972
61.178,132.093
37.956,85.481
43.577,92.716
3.743,15.263
97.354,204.561
43.175,94.281
95.758,207.082
88.775,185.146
63.998,135.83
97.097,207.678
61.884,128.486
33.343,76.482
34.675,71.592
39.849,95.533
78.469,165.57
3.894,15.448
74.88,153.568
67.728,145.417
17.126,40.251
26.109,59.55
51.441,119.321
67.561,144.244
98.282,201.205
75.954,162.725
56.649,121.484
84.969,182.888
18.947,55.057
27.129,59.294
82.816,177.905
69.32,149.065
24.054,62.587
4.299,17.449
14.048,42.279
21.639,44.552
47.94,114.327
19.741,53.806
71.936,153.117
0.788,4.332
37.549,88.313
51.441,115.298
0.157,10.282
58.16,127.078
15.791,38.66
35.903,83.65
64.563,140.6
77.582,163.768
56.365,116.048
23.37,60.244
8.998,30.767
8.561,22.941
30.522,63.071
66.743,144.51
0.024,8.322
20.857,52.977
93.303,190.137
92.564,190.333
73.409,162.248
33.307,78.633
51.506,115.945
74.397,167.871
61.916,134.476
62.625,125.244
21.716,55.1
21.657,59.17
38.895,98.087
94.246,191.607
96.261,196.767
73.986,154.442
73.325,151.379
53.576,113.924
0.227,9.528
60.894,125.781
83.68,187.545
75.152,160.843
45.273,100.126
53.579,119.636
53.738,117.662
0.138,9.616
35.567,88.517
61.213,131.341
82.894,169.37
35.672,83.273
41.064,90.369
57.348,122.086
58.968,122.595
71.966,156.073
39.497,88.125
91.92,196.419
96.257,201.342
23.352,53.412
72.45,161.151
90.363,189.368
60.347,135.435
63.151,130.294
93.739,195.147
85.048,178.75
57.982,124.009
82.14,181.024
11.372,32.63
76.451,164.123
62.361,130.011
14.845,36.043
8.026,31.043
46.407,109.106
77.937,172.118
73.353,149.802
81.723,183.696
17.016,49.117
94.472,198.81
29.362,72.243
14.907,34.957
71.938,148.395
32.409,75.062
77.881,159.769
39.444,89.838
67.859,152.207
77.583,159.996
18.787,43.882
2.909,16.05
13.571,32.055
68.016,144.116
93.482,201.328
55.049,124.947
60.177,132.272
19.699,40.141
53.524,116.777
17.956,51.235
45.189,104.443
31.705,72.457
11.617,19.735
18.61,47.525
72.973,158.815
41.187,92.603
41.405,93.597
48.031,108.22
42.749,93.516
13.649,43.848
82.468,177.288
59.23,122.247
79.44,175.787
76.903,169.829
91.806,197.732
86.263,174.213
31.698,70.549
25.926,65.03
74.227,158.672
74.736,161.212
91.79,205.879
79.319,164.546
13.333,26.1
28.775,68.918
19.468,45.497
78.411,169.052
12.887,31.713
12.909,46.878
7.225,23.832
5.313,18.239
53.187,115.544
11.231,36.774
74.319,159.124
73.132,148.135
