"","Claim_Number","Year","Month","Day","Airline_Name","Airport_Code","Claim_Type","Claim_Site","Item","Claim_Amount","Status","Close_Amount"
"24222","2005080000000",2005,8,"07 00:00:00","American Airlines","MSP","Passenger Property Loss","Checked Baggage","Other",100,"Settled",50
"27375","2005110000000",2005,10,"09 00:00:00","UAL","IAD","Passenger Property Loss","Checked Baggage","Other",217.5,"Settled",108.75
"6742","2004080000000",2004,6,"02 00:00:00","Air France","JFK","Passenger Property Loss","Checked Baggage","Other",652.51,"Denied",0
"22693","2005070000000",2005,6,"28 00:00:00","American Airlines","SAN","Passenger Property Loss","Checked Baggage","Other",163.23,"Denied",0
"30680","2006010000000",2005,12,"30 00:00:00","Other","LAS","Passenger Property Loss","Checked Baggage","Jewelry - Fine",1027.37,"Denied",0
"162","0130165M",2004,1,"15 00:00:00","Southwest Airlines","PDX","Passenger Property Loss","Checked Baggage","Other",46,"Approved",46
"13837","2005010000000",2004,11,"08 00:00:00","Northwest Airlines","MSP","Passenger Property Loss","Checked Baggage","Other",344.65,"Denied",0
"28352","2005120000000",2005,10,"31 00:00:00","Continental Airlines","MYR","Passenger Property Loss","Checked Baggage","Other",98,"Denied",0
"17440","2005040000000",2005,3,"06 00:00:00","Northwest Airlines","TOL","Passenger Property Loss","Checked Baggage","Computer - Laptop",4000,"Denied",0
"5991","2004070000000",2004,5,"15 00:00:00","Lufthansa","ORD","Passenger Property Loss","Checked Baggage","Cosmetics - Perfume; toilet articles; medicines; soaps; etc.",50,"Settled",25
"5812","2004070000000",2004,5,"09 00:00:00","Southwest Airlines","SJC","Passenger Property Loss","Checked Baggage","Jewelry - Fine",2000,"Settled",1237.5
"26124","2005100000000",2005,9,"13 00:00:00","Jet Blue","JFK","Passenger Property Loss","Checked Baggage","Luggage (all types including footlockers)",300,"Settled",150
"24892","2005090000000",2005,8,"22 00:00:00","American Airlines","TUL","Property Damage","Checked Baggage","Luggage (all types including footlockers)",340,"Settled",50
"27003","2005100000000",2005,9,"27 00:00:00","Continental Airlines","SEA","Property Damage","Checked Baggage","Other",135,"Denied",0
"23821","2005080000000",2005,8,"03 00:00:00","Continental Airlines","EWR","Property Damage","Checked Baggage","Other",100,"Denied",0
"25897","2005100000000",2005,8,"25 00:00:00","Southwest Airlines","MCO","Property Damage","Checkpoint","Jewelry - Fine",80,"Approved",80
"3871","2004060000000",2004,4,"22 00:00:00","Hawaiian Airlines","KOA","Property Damage","Checked Baggage","Locks",204,"Settled",50
"9054","2004090000000",2004,8,"18 00:00:00","UAL","SJC","Passenger Property Loss","Checked Baggage","Other",6.83,"Approved",6.83
"22925","2005070000000",2005,6,"22 00:00:00","Spirit Airlines","ORD","Passenger Property Loss","Checkpoint","Cameras - Digital",700,"Denied",0
"24035","2005080000000",2005,6,"28 00:00:00","Northwest Airlines","ATL","Passenger Property Loss","Checked Baggage","Jewelry - Fine",159,"Denied",0
"18740","2005050000000",2005,3,"02 00:00:00","UAL","ABQ","Passenger Property Loss","Checked Baggage","Musical Instruments - Other - Over $250",116.76,"Denied",0
"22076","2005070000000",2005,6,"11 00:00:00","American Airlines","SAN","Passenger Property Loss","Checked Baggage","Cosmetics - Perfume; toilet articles; medicines; soaps; etc.",85,"Settled",42.5
"5443","2004070000000",2004,5,"23 00:00:00","UAL","LAX","Employee Loss (MPCECA)","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",75,"Approved",75
"26847","2005100000000",2005,10,"09 00:00:00","Delta Air Lines","JFK","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",250,"Denied",0
"30583","2006010000000",2005,12,"29 00:00:00","UAL","LGA","Passenger Property Loss","Checkpoint","Cameras - Digital",175,"Denied",0
"30239","2006010000000",2005,12,"02 00:00:00","American Airlines","SJU","Passenger Property Loss","Checked Baggage","Locks",20,"Settled",10
"18233","2005040000000",2005,4,"06 00:00:00","Other","EUG","Passenger Property Loss","Checked Baggage","Medicines",111,"Settled",56.5
"17937","2005040000000",2005,3,"20 00:00:00","Delta Air Lines","LAS","Passenger Property Loss","Checkpoint","Cameras - Digital",639.95,"Denied",0
"23644","2005080000000",2005,4,"18 00:00:00","Other","F","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",2524.56,"Denied",0
"22465","2005070000000",2005,6,"13 00:00:00","UAL","MKE","Property Damage","Checked Baggage","Other",409.95,"Denied",0
"1855","2004050000000",2004,3,"21 00:00:00","Jet Blue","JFK","Property Damage","Checked Baggage","Other",300,"Approved",300
"9084","2004090000000",2004,8,"18 00:00:00","Continental Airlines","PHX","Passenger Property Loss","Checked Baggage","Other",1240.95,"Denied",0
"27484","2005110000000",2005,10,"09 00:00:00","Delta (Song)","LAX","Passenger Property Loss","Checked Baggage","Cameras - Digital",300,"Denied",0
"5548","2004070000000",2004,4,"01 00:00:00","USAir","TXK","Passenger Property Loss","Checked Baggage","Cameras - Digital",605.48,"Settled",247
"9034","2004100000000",2004,8,"31 00:00:00","UAL","OAK","Passenger Property Loss","Checked Baggage","Cameras - Digital",569.06,"Settled",546.24
"13084","2005010000000",2004,12,"05 00:00:00","USAir","EWR","Property Damage","Checked Baggage","Luggage (all types including footlockers)",64.9,"Approved",64.9
"30981","2006010000000",2005,11,"19 00:00:00","Delta Air Lines","TUS","Passenger Property Loss","Checkpoint","Jewelry - Fine",1865,"Denied",0
"9461","2004100000000",2004,4,"09 00:00:00","Virgin Atlantic","LAX","Passenger Property Loss","Checked Baggage","Computer - Laptop",2100,"Denied",0
"1990","2004050000000",2004,3,"20 00:00:00","USAir","PHL","Passenger Property Loss","Checked Baggage","Other",58,"Approved",58
"9449","2004090000000",2004,8,"13 00:00:00","Delta Air Lines","DFW","Passenger Theft","Checked Baggage","Other",75,"Denied",0
"23886","2005080000000",2005,7,"10 00:00:00","Northwest Airlines","BOS","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",84,"Denied",0
