Date,BigEast,Location,Opp,Margin,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
11/25/2020,N,H,Oakland,52,101,49,43,71,0.606,13,33,0.394,2,4,0.5,6,43,34,9,9,10,11,16,69,0.232,7,31,0.226,10,13,0.769,13,33,8,9,0,16,7
11/26/2020,N,H,Bradley,1,51,50,21,62,0.339,5,20,0.25,4,8,0.5,16,43,12,5,4,10,12,21,63,0.333,6,16,0.375,2,6,0.333,14,36,8,7,3,10,12
11/27/2020,N,H,Toledo,3,76,73,28,65,0.431,6,22,0.273,14,19,0.737,10,38,16,11,6,7,18,22,57,0.386,10,19,0.526,19,24,0.792,5,34,13,3,1,13,19
11/30/2020,N,H,Eastern Kentucky,3,99,96,35,60,0.583,6,19,0.316,23,30,0.767,7,46,22,4,6,24,19,35,91,0.385,11,38,0.289,15,17,0.882,14,32,18,13,2,9,24
12/2/2020,N,H,Tennessee Tech,31,79,48,29,56,0.518,7,15,0.467,14,20,0.7,9,36,19,10,10,8,11,19,60,0.317,4,16,0.25,6,9,0.667,12,33,10,4,1,16,17
12/6/2020,N,A,Cincinnati,8,77,69,25,49,0.51,7,18,0.389,20,25,0.8,0,30,14,4,3,12,17,27,64,0.422,5,21,0.238,10,15,0.667,6,29,19,5,2,7,19
12/9/2020,N,H,Oklahoma,22,99,77,36,63,0.571,19,32,0.594,8,10,0.8,10,31,28,9,3,11,14,29,60,0.483,6,20,0.3,13,16,0.813,9,27,15,7,1,10,12
12/20/2020,Y,H,Marquette,3,91,88,30,56,0.536,13,24,0.542,18,26,0.692,10,28,21,10,3,11,16,32,58,0.552,8,18,0.444,16,17,0.941,6,24,17,1,1,12,21
12/23/2020,Y,A,Creighton,-5,61,66,24,68,0.353,8,32,0.25,5,7,0.714,5,38,10,4,3,11,20,22,62,0.355,8,28,0.286,14,20,0.7,7,41,10,4,6,12,11
12/30/2020,Y,H,Seton Hall,-17,68,85,28,65,0.431,5,24,0.208,7,11,0.636,9,28,22,5,3,8,14,32,61,0.525,7,23,0.304,14,14,1,9,40,19,3,3,10,15
1/6/2021,Y,H,St. John's (NY),8,69,61,24,64,0.375,0,12,0,21,34,0.618,13,51,11,11,5,19,19,24,67,0.358,5,18,0.278,8,15,0.533,8,38,17,9,8,16,28
1/10/2021,Y,H,Providence,1,74,73,29,60,0.483,8,23,0.348,8,16,0.5,11,30,20,10,3,13,9,29,56,0.518,13,22,0.591,2,6,0.333,4,28,20,8,1,15,13
1/30/2021,Y,A,Butler,13,68,55,26,51,0.51,10,20,0.5,6,12,0.5,5,34,12,2,3,12,12,23,67,0.343,5,25,0.2,4,7,0.571,12,31,8,5,2,5,18
2/13/2021,Y,H,UConn,-8,72,80,25,62,0.403,10,27,0.37,12,18,0.667,10,33,19,7,3,9,18,28,63,0.444,11,26,0.423,13,18,0.722,10,38,21,5,8,11,17
2/16/2021,Y,A,St. John's (NY),-9,84,93,30,73,0.411,11,40,0.275,13,16,0.813,8,32,19,6,1,8,16,34,66,0.515,11,29,0.379,14,18,0.778,7,38,24,5,2,11,15
2/21/2021,Y,H,Butler,12,63,51,24,55,0.436,2,19,0.105,13,20,0.65,10,36,16,9,3,11,15,18,61,0.295,6,31,0.194,9,12,0.75,15,40,11,6,1,13,18
2/24/2021,Y,A,Providence,-15,68,83,27,61,0.443,3,17,0.176,11,15,0.733,4,26,13,7,1,7,16,29,54,0.537,11,21,0.524,14,17,0.824,4,33,17,3,3,11,16
2/27/2021,Y,H,Creighton,8,77,69,32,59,0.542,7,21,0.333,6,8,0.75,4,33,22,5,9,10,15,26,61,0.426,9,25,0.36,8,16,0.5,5,29,17,7,4,8,15
3/2/2021,Y,A,Georgetown,-6,66,72,22,68,0.324,9,34,0.265,13,16,0.813,12,39,14,7,2,12,22,24,61,0.393,9,25,0.36,15,22,0.682,13,42,10,4,4,12,17
